         568
x,y,cvx,cvy,f1x,f1y,f2x,f2y,f3x,f3y,cs                                                              
     -31200.000,    -160015.000,  122,    2,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -160005.000,  120,    3,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159995.000,  120,    4,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159985.000,  119,    5,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159975.000,  119,    6,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159965.000,  119,    7,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159955.000,  119,    8,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159945.000,  118,    9,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159935.000,  116,   10,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159925.000,  117,   11,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159915.000,  116,   12,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159905.000,  116,   13,    0,    0,    1,    0,    0,    0,    10.000
     -31270.000,    -159895.000,  115,   14,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159885.000,  116,   15,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159875.000,  117,   16,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159865.000,  117,   17,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159855.000,  117,   18,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159845.000,  117,   19,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159835.000,  117,   20,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159825.000,  116,   21,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159815.000,  116,   22,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159805.000,  116,   23,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159795.000,  116,   24,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159785.000,  116,   25,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159775.000,  116,   26,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159765.000,  116,   27,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159755.000,  116,   28,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159745.000,  116,   29,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159735.000,  117,   30,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159725.000,  118,   31,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159715.000,  117,   32,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159705.000,  117,   33,    0,    0,    1,    0,    0,    0,    10.000
     -30730.000,    -159705.000,  169,   33,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159695.000,  116,   34,    0,    0,    1,    0,    0,    0,    10.000
     -30740.000,    -159695.000,  168,   34,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159685.000,  116,   35,    0,    0,    1,    0,    0,    0,    10.000
     -30760.000,    -159685.000,  166,   35,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159675.000,  116,   36,    0,    0,    1,    0,    0,    0,    10.000
     -30770.000,    -159675.000,  165,   36,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159665.000,  116,   37,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159655.000,  116,   38,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159645.000,  116,   39,    0,    0,    1,    0,    0,    0,    10.000
     -31270.000,    -159635.000,  115,   40,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159625.000,  114,   41,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159615.000,  114,   42,    0,    0,    1,    0,    0,    0,    10.000
     -31290.000,    -159605.000,  113,   43,    0,    0,    1,    0,    0,    0,    10.000
     -31290.000,    -159595.000,  113,   44,    0,    0,    1,    0,    0,    0,    10.000
     -31290.000,    -159585.000,  113,   45,    0,    0,    1,    0,    0,    0,    10.000
     -31290.000,    -159575.000,  113,   46,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159565.000,  114,   47,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159555.000,  114,   48,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159545.000,  114,   49,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159535.000,  114,   50,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159525.000,  114,   51,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159515.000,  116,   52,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159505.000,  116,   53,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159495.000,  116,   54,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159485.000,  116,   55,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159475.000,  117,   56,    0,    0,    1,    0,    0,    0,    10.000
     -30410.000,    -159475.000,  201,   56,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159465.000,  117,   57,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159455.000,  117,   58,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159445.000,  117,   59,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159435.000,  117,   60,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159425.000,  117,   61,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159415.000,  118,   62,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159405.000,  118,   63,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159395.000,  118,   64,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159385.000,  119,   65,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159375.000,  120,   66,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159365.000,  120,   67,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159355.000,  120,   68,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159345.000,  120,   69,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159335.000,  120,   70,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159325.000,  120,   71,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159315.000,  120,   72,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159305.000,  120,   73,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159295.000,  120,   74,    0,    0,    1,    0,    0,    0,    10.000
     -31220.000,    -159285.000,  120,   75,    0,    0,    1,    0,    0,    0,    10.000
     -30230.000,    -159285.000,  219,   75,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159275.000,  119,   76,    0,    0,    1,    0,    0,    0,    10.000
     -30190.000,    -159275.000,  223,   76,    0,    0,    1,    0,    0,    0,    10.000
     -31230.000,    -159265.000,  119,   77,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159255.000,  118,   78,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159245.000,  118,   79,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159235.000,  118,   80,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159225.000,  118,   81,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159215.000,  118,   82,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159205.000,  118,   83,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159195.000,  118,   84,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159185.000,  118,   85,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159175.000,  118,   86,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159165.000,  118,   87,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159155.000,  118,   88,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159145.000,  118,   89,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159135.000,  118,   90,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159125.000,  118,   91,    0,    0,    1,    0,    0,    0,    10.000
     -31240.000,    -159115.000,  118,   92,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159105.000,  117,   93,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159095.000,  117,   94,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159085.000,  117,   95,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159075.000,  117,   96,    0,    0,    1,    0,    0,    0,    10.000
     -31250.000,    -159065.000,  117,   97,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159055.000,  116,   98,    0,    0,    1,    0,    0,    0,    10.000
     -31260.000,    -159045.000,  116,   99,    0,    0,    1,    0,    0,    0,    10.000
     -31270.000,    -159035.000,  115,  100,    0,    0,    1,    0,    0,    0,    10.000
     -31270.000,    -159025.000,  115,  101,    0,    0,    1,    0,    0,    0,    10.000
     -31270.000,    -159015.000,  115,  102,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -159005.000,  114,  103,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -158995.000,  114,  104,    0,    0,    1,    0,    0,    0,    10.000
     -31280.000,    -158985.000,  114,  105,    0,    0,    1,    0,    0,    0,    10.000
     -31290.000,    -158975.000,  113,  106,    0,    0,    1,    0,    0,    0,    10.000
     -31300.000,    -158965.000,  112,  107,    0,    0,    1,    0,    0,    0,    10.000
     -31300.000,    -158955.000,  112,  108,    0,    0,    1,    0,    0,    0,    10.000
