time,v(x0.6),h,rho*g,c,q,s
2014/08/29 15:41:00,0.000,0.008,7.211,-0.155,0.000,0.119
2014/08/29 15:42:00,0.000,0.007,2.394,-0.442,0.000,0.111
2014/08/29 15:43:00,0.000,0.008,5.530,-0.255,0.000,0.113
2014/08/29 15:44:00,0.000,0.009,6.455,-0.200,0.000,0.131
2014/08/29 15:45:00,0.000,0.011,8.224,-0.095,0.000,0.166
2014/08/29 15:46:00,0.000,0.016,6.776,-0.181,0.000,0.268
2014/08/29 15:47:00,0.000,0.016,7.390,-0.144,0.000,0.430
2014/08/29 15:48:00,1.800,0.025,6.128,-0.220,0.461,0.602
2014/08/29 15:49:00,1.800,0.019,5.834,-0.237,0.861,0.478
2014/08/29 15:50:00,1.200,0.027,6.766,-0.182,0.829,0.573
2014/08/29 15:51:00,1.200,0.026,8.579,-0.073,0.488,0.406
2014/08/29 15:52:00,0.600,0.029,6.565,-0.194,0.298,0.336
2014/08/29 15:53:00,0.600,0.288,8.521,-0.077,1.198,1.996
2014/08/29 15:54:00,0.600,0.917,10.709,0.054,3.874,6.457
2014/08/29 15:55:00,3.000,0.952,12.466,0.158,12.238,6.724
2014/08/29 15:56:00,4.200,0.863,13.460,0.218,21.430,5.966
2014/08/29 15:57:00,4.800,0.727,13.839,0.240,22.513,5.004
2014/08/29 15:58:00,4.200,0.607,14.491,0.279,18.798,4.172
2014/08/29 15:59:00,3.600,0.486,15.076,0.314,12.815,3.278
2014/08/29 16:00:00,3.600,0.399,15.827,0.359,9.520,2.644
2014/08/29 16:01:00,3.000,0.347,16.106,0.376,7.593,2.303
2014/08/29 16:02:00,2.400,0.299,16.353,0.390,5.904,2.191
2014/08/29 16:03:00,2.400,0.239,15.790,0.357,4.640,1.933
2014/08/29 16:04:00,2.400,0.204,15.899,0.363,4.266,1.777
2014/08/29 16:05:00,2.400,0.181,14.752,0.295,3.843,1.601
2014/08/29 16:06:00,1.800,0.167,13.937,0.246,3.061,1.458
2014/08/29 16:07:00,1.200,0.172,14.258,0.265,2.090,1.405
2014/08/29 16:08:00,1.200,0.153,13.824,0.239,1.481,1.234
2014/08/29 16:09:00,1.200,0.146,13.105,0.197,1.314,1.095
2014/08/29 16:10:00,0.600,0.135,12.918,0.185,0.916,1.019
2014/08/29 16:11:00,1.200,0.124,12.339,0.151,0.846,0.943
2014/08/29 16:12:00,1.200,0.133,10.446,0.038,1.181,0.984
2014/08/29 16:13:00,1.200,0.100,9.630,-0.011,1.019,0.849
2014/08/29 16:14:00,1.200,0.110,9.618,-0.011,1.029,0.857
2014/08/29 16:15:00,1.200,0.074,9.410,-0.024,0.794,0.662
2014/08/29 16:16:00,1.200,0.095,8.075,-0.103,0.842,0.702
2014/08/29 16:17:00,1.200,0.077,8.472,-0.080,0.734,0.611
2014/08/29 16:18:00,1.200,0.078,8.331,-0.088,0.711,0.593
2014/08/29 16:19:00,1.200,0.061,6.880,-0.175,0.640,0.533
2014/08/29 16:20:00,1.200,0.067,2.567,-0.432,0.670,0.558
2014/08/29 16:21:00,1.200,0.049,4.420,-0.321,0.574,0.479
2014/08/29 16:22:00,1.200,0.041,5.180,-0.276,0.508,0.423
2014/08/29 16:23:00,1.200,0.039,7.087,-0.162,0.507,0.422
2014/08/29 16:24:00,1.200,0.042,1.055,-0.522,0.534,0.445
2014/08/29 16:25:00,1.200,0.031,2.466,-0.438,0.450,0.375
2014/08/29 16:26:00,0.600,0.028,0.306,-0.567,0.328,0.362
2014/08/29 16:27:00,0.600,0.022,1.296,-0.508,0.197,0.329
2014/08/29 16:28:00,0.600,0.019,0.756,-0.540,0.181,0.301
2014/08/29 16:29:00,0.600,0.013,0.626,-0.548,0.168,0.281
2014/08/29 16:30:00,0.600,0.008,0.168,-0.575,0.152,0.254
2014/08/29 16:31:00,0.600,0.004,0.000,-0.585,0.129,0.215
2014/08/29 16:32:00,0.600,0.004,0.000,-0.585,0.129,0.216
2014/08/29 16:33:00,0.600,0.004,0.000,-0.585,0.128,0.213
2014/08/29 16:34:00,0.600,0.003,0.000,-0.585,0.121,0.202
2014/08/29 16:35:00,0.600,0.003,0.000,-0.585,0.059,0.202
2014/08/29 16:36:00,0.600,0.003,0.000,-0.585,0.060,0.194
2014/08/29 16:37:00,0.600,0.002,0.000,-0.585,0.113,0.189
2014/08/29 16:38:00,0.600,0.003,0.000,-0.585,0.109,0.182
2014/08/29 16:39:00,0.600,0.003,0.000,-0.585,0.108,0.179
