         836
x,y,i,j
      12500.000,     -10335.000,  312,    3
      12480.000,     -10325.000,  310,    4
      12460.000,     -10315.000,  308,    5
      12440.000,     -10305.000,  306,    6
      12420.000,     -10295.000,  304,    7
      12400.000,     -10285.000,  302,    8
      12380.000,     -10275.000,  300,    9
      12360.000,     -10265.000,  298,   10
      12340.000,     -10255.000,  296,   11
      12320.000,     -10245.000,  294,   12
      12310.000,     -10235.000,  293,   13
      12290.000,     -10225.000,  291,   14
      12270.000,     -10215.000,  289,   15
      12250.000,     -10205.000,  287,   16
      12230.000,     -10195.000,  285,   17
      12210.000,     -10185.000,  283,   18
      12190.000,     -10175.000,  281,   19
      12170.000,     -10165.000,  279,   20
      12150.000,     -10155.000,  277,   21
      12130.000,     -10145.000,  275,   22
      12110.000,     -10135.000,  273,   23
      12090.000,     -10125.000,  271,   24
      12070.000,     -10115.000,  269,   25
      12050.000,     -10105.000,  267,   26
      12030.000,     -10095.000,  265,   27
      12010.000,     -10085.000,  263,   28
      11990.000,     -10075.000,  261,   29
      11980.000,     -10065.000,  260,   30
      11970.000,     -10055.000,  259,   31
      11960.000,     -10045.000,  258,   32
      11950.000,     -10035.000,  257,   33
      11940.000,     -10025.000,  256,   34
      11940.000,     -10015.000,  256,   35
      11930.000,     -10005.000,  255,   36
      11920.000,      -9995.000,  254,   37
      11910.000,      -9985.000,  253,   38
      11900.000,      -9975.000,  252,   39
      11890.000,      -9965.000,  251,   40
      11880.000,      -9955.000,  250,   41
      11880.000,      -9945.000,  250,   42
      11870.000,      -9935.000,  249,   43
      11860.000,      -9925.000,  248,   44
      11850.000,      -9915.000,  247,   45
      11840.000,      -9905.000,  246,   46
      11830.000,      -9895.000,  245,   47
      11820.000,      -9885.000,  244,   48
      11820.000,      -9875.000,  244,   49
      11810.000,      -9865.000,  243,   50
      11800.000,      -9855.000,  242,   51
      11790.000,      -9845.000,  241,   52
      11780.000,      -9835.000,  240,   53
      11770.000,      -9825.000,  239,   54
      11760.000,      -9815.000,  238,   55
      11760.000,      -9805.000,  238,   56
      11750.000,      -9795.000,  237,   57
      11740.000,      -9785.000,  236,   58
      11730.000,      -9775.000,  235,   59
      11720.000,      -9765.000,  234,   60
      11710.000,      -9755.000,  233,   61
      11710.000,      -9745.000,  233,   62
      11700.000,      -9735.000,  232,   63
      11690.000,      -9725.000,  231,   64
      11680.000,      -9715.000,  230,   65
      11670.000,      -9705.000,  229,   66
      11660.000,      -9695.000,  228,   67
      11650.000,      -9685.000,  227,   68
      11650.000,      -9675.000,  227,   69
      11640.000,      -9665.000,  226,   70
      11630.000,      -9655.000,  225,   71
      11620.000,      -9645.000,  224,   72
      11610.000,      -9635.000,  223,   73
      11600.000,      -9625.000,  222,   74
      11590.000,      -9615.000,  221,   75
      11590.000,      -9605.000,  221,   76
      11580.000,      -9595.000,  220,   77
      11570.000,      -9585.000,  219,   78
      11560.000,      -9575.000,  218,   79
      11550.000,      -9565.000,  217,   80
      11540.000,      -9555.000,  216,   81
      11530.000,      -9545.000,  215,   82
      11530.000,      -9535.000,  215,   83
      11520.000,      -9525.000,  214,   84
      11510.000,      -9515.000,  213,   85
      11500.000,      -9505.000,  212,   86
      11490.000,      -9495.000,  211,   87
      11480.000,      -9485.000,  210,   88
      11470.000,      -9475.000,  209,   89
      11470.000,      -9465.000,  209,   90
      11460.000,      -9455.000,  208,   91
      11450.000,      -9445.000,  207,   92
      11440.000,      -9435.000,  206,   93
      11430.000,      -9425.000,  205,   94
      11420.000,      -9415.000,  204,   95
      11420.000,      -9405.000,  204,   96
      11410.000,      -9395.000,  203,   97
      11400.000,      -9385.000,  202,   98
      11390.000,      -9375.000,  201,   99
      11380.000,      -9365.000,  200,  100
      11370.000,      -9355.000,  199,  101
      11360.000,      -9345.000,  198,  102
      11360.000,      -9335.000,  198,  103
      11350.000,      -9325.000,  197,  104
      11340.000,      -9315.000,  196,  105
      11330.000,      -9305.000,  195,  106
      11330.000,      -9295.000,  195,  107
      11320.000,      -9285.000,  194,  108
      11320.000,      -9275.000,  194,  109
      11310.000,      -9265.000,  193,  110
      11300.000,      -9255.000,  192,  111
      11300.000,      -9245.000,  192,  112
      11290.000,      -9235.000,  191,  113
      11290.000,      -9225.000,  191,  114
      11280.000,      -9215.000,  190,  115
      11270.000,      -9205.000,  189,  116
      11270.000,      -9195.000,  189,  117
      11260.000,      -9185.000,  188,  118
      11260.000,      -9175.000,  188,  119
      11250.000,      -9165.000,  187,  120
      11240.000,      -9155.000,  186,  121
      11240.000,      -9145.000,  186,  122
      11230.000,      -9135.000,  185,  123
      11230.000,      -9125.000,  185,  124
      11220.000,      -9115.000,  184,  125
      11210.000,      -9105.000,  183,  126
      11210.000,      -9095.000,  183,  127
      11200.000,      -9085.000,  182,  128
      11200.000,      -9075.000,  182,  129
      11190.000,      -9065.000,  181,  130
      11190.000,      -9055.000,  181,  131
      11180.000,      -9045.000,  180,  132
      11170.000,      -9035.000,  179,  133
      11170.000,      -9025.000,  179,  134
