        1672
x,y,cvx,cvy,f1x,f1y,f2x,f2y,f3x,f3y,cs                                                              
      12500.000,     -10335.000,  312,    3,    0,    0,    1,    0,    0,    0,    10.000
      12480.000,     -10325.000,  310,    4,    0,    0,    1,    0,    0,    0,    10.000
      12460.000,     -10315.000,  308,    5,    0,    0,    1,    0,    0,    0,    10.000
      12440.000,     -10305.000,  306,    6,    0,    0,    1,    0,    0,    0,    10.000
      12420.000,     -10295.000,  304,    7,    0,    0,    1,    0,    0,    0,    10.000
      12400.000,     -10285.000,  302,    8,    0,    0,    1,    0,    0,    0,    10.000
      12380.000,     -10275.000,  300,    9,    0,    0,    1,    0,    0,    0,    10.000
      12360.000,     -10265.000,  298,   10,    0,    0,    1,    0,    0,    0,    10.000
      12340.000,     -10255.000,  296,   11,    0,    0,    1,    0,    0,    0,    10.000
      12320.000,     -10245.000,  294,   12,    0,    0,    1,    0,    0,    0,    10.000
      12310.000,     -10235.000,  293,   13,    0,    0,    1,    0,    0,    0,    10.000
      12290.000,     -10225.000,  291,   14,    0,    0,    1,    0,    0,    0,    10.000
      12270.000,     -10215.000,  289,   15,    0,    0,    1,    0,    0,    0,    10.000
      12250.000,     -10205.000,  287,   16,    0,    0,    1,    0,    0,    0,    10.000
      12230.000,     -10195.000,  285,   17,    0,    0,    1,    0,    0,    0,    10.000
      12210.000,     -10185.000,  283,   18,    0,    0,    1,    0,    0,    0,    10.000
      12190.000,     -10175.000,  281,   19,    0,    0,    1,    0,    0,    0,    10.000
      12170.000,     -10165.000,  279,   20,    0,    0,    1,    0,    0,    0,    10.000
      12150.000,     -10155.000,  277,   21,    0,    0,    1,    0,    0,    0,    10.000
      12130.000,     -10145.000,  275,   22,    0,    0,    1,    0,    0,    0,    10.000
      12110.000,     -10135.000,  273,   23,    0,    0,    1,    0,    0,    0,    10.000
      12090.000,     -10125.000,  271,   24,    0,    0,    1,    0,    0,    0,    10.000
      12070.000,     -10115.000,  269,   25,    0,    0,    1,    0,    0,    0,    10.000
      12050.000,     -10105.000,  267,   26,    0,    0,    1,    0,    0,    0,    10.000
      12030.000,     -10095.000,  265,   27,    0,    0,    1,    0,    0,    0,    10.000
      12010.000,     -10085.000,  263,   28,    0,    0,    1,    0,    0,    0,    10.000
      11990.000,     -10075.000,  261,   29,    0,    0,    1,    0,    0,    0,    10.000
      11980.000,     -10065.000,  260,   30,    0,    0,    1,    0,    0,    0,    10.000
      11970.000,     -10055.000,  259,   31,    0,    0,    1,    0,    0,    0,    10.000
      11960.000,     -10045.000,  258,   32,    0,    0,    1,    0,    0,    0,    10.000
      11950.000,     -10035.000,  257,   33,    0,    0,    1,    0,    0,    0,    10.000
      11940.000,     -10025.000,  256,   34,    0,    0,    1,    0,    0,    0,    10.000
      11940.000,     -10015.000,  256,   35,    0,    0,    1,    0,    0,    0,    10.000
      11930.000,     -10005.000,  255,   36,    0,    0,    1,    0,    0,    0,    10.000
      11920.000,      -9995.000,  254,   37,    0,    0,    1,    0,    0,    0,    10.000
      11910.000,      -9985.000,  253,   38,    0,    0,    1,    0,    0,    0,    10.000
      11900.000,      -9975.000,  252,   39,    0,    0,    1,    0,    0,    0,    10.000
      11890.000,      -9965.000,  251,   40,    0,    0,    1,    0,    0,    0,    10.000
      11880.000,      -9955.000,  250,   41,    0,    0,    1,    0,    0,    0,    10.000
      11880.000,      -9945.000,  250,   42,    0,    0,    1,    0,    0,    0,    10.000
      11870.000,      -9935.000,  249,   43,    0,    0,    1,    0,    0,    0,    10.000
      11860.000,      -9925.000,  248,   44,    0,    0,    1,    0,    0,    0,    10.000
      11850.000,      -9915.000,  247,   45,    0,    0,    1,    0,    0,    0,    10.000
