   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
    1,  1261.631,  1259.631,  1257.631,    30.000,    15.000,   0.05000
    2,  1267.599,  1265.599,  1263.599,    30.000,    15.000,   0.05000
    3,  1242.376,  1240.376,  1238.376,    42.426,    15.000,   0.05000
    4,  1233.374,  1231.374,  1229.374,    30.000,    15.000,   0.05000
    5,  1242.743,  1240.743,  1238.743,    42.426,    15.000,   0.05000
    6,  1205.406,  1203.406,  1201.406,    30.000,    15.000,   0.05000
    7,  1215.045,  1213.045,  1211.045,    30.000,    15.000,   0.05000
    8,  1269.552,  1267.552,  1265.552,    42.426,    15.000,   0.05000
    9,  1189.258,  1187.258,  1185.258,    30.000,    15.000,   0.05000
   10,  1197.858,  1195.858,  1193.858,    30.000,    15.000,   0.05000
   11,  1239.018,  1237.018,  1235.018,    42.426,    15.000,   0.05000
   12,  1281.333,  1279.333,  1277.333,    42.426,    15.000,   0.05000
   13,  1187.701,  1185.701,  1183.701,    30.000,    15.000,   0.05000
   14,  1176.495,  1174.495,  1172.495,    30.000,    15.000,   0.05000
   15,  1173.470,  1171.470,  1169.470,    42.426,    15.000,   0.05000
   16,  1209.579,  1207.579,  1205.579,    42.426,    15.000,   0.05000
   17,  1252.621,  1250.621,  1248.621,    42.426,    15.000,   0.05000
   18,  1061.999,  1059.999,  1057.999,    42.426,    15.000,   0.05000
   19,  1163.135,  1161.135,  1159.135,    30.000,    15.000,   0.05000
   20,  1161.167,  1159.167,  1157.167,    30.000,    15.000,   0.05000
   21,  1149.288,  1147.288,  1145.288,    30.000,    15.000,   0.05000
   22,  1184.480,  1182.480,  1180.480,    42.426,    15.000,   0.05000
   23,   990.289,   988.289,   986.289,    42.426,    15.000,   0.05000
   24,  1006.502,  1004.502,  1002.502,    30.000,    15.000,   0.05000
   25,  1023.018,  1021.018,  1019.018,    30.000,    15.000,   0.05000
   26,  1035.293,  1033.293,  1031.293,    30.000,    15.000,   0.05000
   27,  1175.156,  1173.156,  1171.156,    42.426,    15.000,   0.05000
   28,  1148.502,  1146.502,  1144.502,    30.000,    15.000,   0.05000
   29,  1160.320,  1158.320,  1156.320,    30.000,    15.000,   0.05000
   30,  1130.637,  1128.637,  1126.637,    30.000,    15.000,   0.05000
   31,  1156.262,  1154.262,  1152.262,    42.426,    15.000,   0.05000
   32,  1338.314,  1336.314,  1334.314,    42.426,    15.000,   0.05000
   33,   973.057,   971.057,   969.057,    42.426,    15.000,   0.05000
   34,  1149.326,  1147.326,  1145.326,    42.426,    15.000,   0.05000
   35,  1140.687,  1138.687,  1136.687,    42.426,    15.000,   0.05000
   36,  1143.315,  1141.315,  1139.315,    30.000,    15.000,   0.05000
   37,  1122.025,  1120.025,  1118.025,    42.426,    15.000,   0.05000
   38,  1131.371,  1129.371,  1127.371,    30.000,    15.000,   0.05000
   39,  1254.110,  1252.110,  1250.110,    30.000,    15.000,   0.05000
