   time(s)          q_sum         qs_sum          h_sum         hs_sum        qcc_sum        qcf_sum         cc_sum         cf_sum         dz_sum        fsr_sum
       600   0.00000E+000   0.96567E-003   0.44865E+001   0.77853E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      1200   0.00000E+000   0.19330E-002   0.89867E+001   0.77853E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      1800   0.00000E+000   0.29002E-002   0.13486E+002   0.77852E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      2400   0.00000E+000   0.38675E-002   0.17983E+002   0.77852E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      3000   0.00000E+000   0.48348E-002   0.22479E+002   0.77851E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      3600   0.00000E+000   0.58021E-002   0.26974E+002   0.77851E+006   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.26001E+007   0.00000E+000
      4200   0.00000E+000   0.67694E-002   0.43619E+005   0.76656E+006   0.00000E+000   0.00000E+000   0.94560E+004   0.86976E+004   0.25668E+007   0.00000E+000
      4800   0.00000E+000   0.77366E-002   0.52134E+005   0.76298E+006   0.00000E+000   0.00000E+000   0.85007E+004   0.11420E+005   0.25618E+007   0.00000E+000
      5400   0.00000E+000   0.87039E-002   0.67427E+005   0.75898E+006   0.00000E+000   0.00000E+000   0.12279E+005   0.14291E+005   0.25489E+007   0.00000E+000
      6000   0.00000E+000   0.96712E-002   0.78823E+005   0.75473E+006   0.00000E+000   0.00000E+000   0.13765E+005   0.16652E+005   0.25407E+007   0.00000E+000
      6600   0.00000E+000   0.10638E-001   0.10873E+006   0.74474E+006   0.00000E+000   0.00000E+000   0.18512E+005   0.22880E+005   0.25198E+007   0.00000E+000
      7200   0.00000E+000   0.11606E-001   0.10848E+006   0.74463E+006   0.00000E+000   0.00000E+000   0.18229E+005   0.22884E+005   0.25202E+007   0.00000E+000
      7800   0.00000E+000   0.12573E-001   0.10822E+006   0.74462E+006   0.00000E+000   0.00000E+000   0.18066E+005   0.22860E+005   0.25205E+007   0.00000E+000
      8400   0.00000E+000   0.13540E-001   0.11098E+006   0.74375E+006   0.00000E+000   0.00000E+000   0.18388E+005   0.23506E+005   0.25185E+007   0.00000E+000
      9000   0.00000E+000   0.14508E-001   0.12253E+006   0.74130E+006   0.00000E+000   0.00000E+000   0.21166E+005   0.25968E+005   0.25086E+007   0.00000E+000
      9600   0.00000E+000   0.15475E-001   0.13088E+006   0.73859E+006   0.00000E+000   0.00000E+000   0.22761E+005   0.27581E+005   0.25023E+007   0.00000E+000
     10200   0.00000E+000   0.16442E-001   0.13050E+006   0.73856E+006   0.00000E+000   0.00000E+000   0.22489E+005   0.27556E+005   0.25027E+007   0.00000E+000
     10800   0.00000E+000   0.17409E-001   0.13035E+006   0.73854E+006   0.00000E+000   0.00000E+000   0.22375E+005   0.27547E+005   0.25029E+007   0.00000E+000
     11400   0.00000E+000   0.18377E-001   0.14484E+006   0.73455E+006   0.00000E+000   0.00000E+000   0.25400E+005   0.30500E+005   0.24921E+007   0.00000E+000
     12000   0.00000E+000   0.19344E-001   0.14468E+006   0.73454E+006   0.00000E+000   0.00000E+000   0.25283E+005   0.30487E+005   0.24923E+007   0.00000E+000
     12600   0.00000E+000   0.20311E-001   0.14809E+006   0.73369E+006   0.00000E+000   0.00000E+000   0.26170E+005   0.31121E+005   0.24893E+007   0.00000E+000
     13200   0.00000E+000   0.21279E-001   0.14802E+006   0.73368E+006   0.00000E+000   0.00000E+000   0.26117E+005   0.31117E+005   0.24894E+007   0.00000E+000
     13800   0.00000E+000   0.22246E-001   0.14797E+006   0.73367E+006   0.00000E+000   0.00000E+000   0.26076E+005   0.31113E+005   0.24895E+007   0.00000E+000
     14400   0.00000E+000   0.23213E-001   0.14793E+006   0.73366E+006   0.00000E+000   0.00000E+000   0.26043E+005   0.31110E+005   0.24895E+007   0.00000E+000
     15000   0.00000E+000   0.24180E-001   0.17414E+006   0.72525E+006   0.00000E+000   0.00000E+000   0.30701E+005   0.36415E+005   0.24702E+007   0.00000E+000
     15600   0.00000E+000   0.25148E-001   0.17622E+006   0.72450E+006   0.00000E+000   0.00000E+000   0.31082E+005   0.36789E+005   0.24686E+007   0.00000E+000
     16200   0.00000E+000   0.26115E-001   0.19110E+006   0.72058E+006   0.00000E+000   0.00000E+000   0.34931E+005   0.39480E+005   0.24569E+007   0.00000E+000
     16800   0.00000E+000   0.27082E-001   0.19087E+006   0.72057E+006   0.00000E+000   0.00000E+000   0.34786E+005   0.39462E+005   0.24571E+007   0.00000E+000
     17400   0.00000E+000   0.28049E-001   0.19074E+006   0.72056E+006   0.00000E+000   0.00000E+000   0.34697E+005   0.39451E+005   0.24572E+007   0.00000E+000
     18000   0.00000E+000   0.29017E-001   0.19062E+006   0.72056E+006   0.00000E+000   0.00000E+000   0.34622E+005   0.39441E+005   0.24574E+007   0.00000E+000
     18600   0.00000E+000   0.29984E-001   0.19053E+006   0.72055E+006   0.00000E+000   0.00000E+000   0.34558E+005   0.39434E+005   0.24575E+007   0.00000E+000
     19200   0.00000E+000   0.30951E-001   0.19044E+006   0.72054E+006   0.00000E+000   0.00000E+000   0.34496E+005   0.39427E+005   0.24576E+007   0.00000E+000
     19800   0.00000E+000   0.31919E-001   0.19037E+006   0.72054E+006   0.00000E+000   0.00000E+000   0.34443E+005   0.39423E+005   0.24576E+007   0.00000E+000
     20400   0.00000E+000   0.32886E-001   0.19031E+006   0.72053E+006   0.00000E+000   0.00000E+000   0.34395E+005   0.39419E+005   0.24577E+007   0.00000E+000
     21000   0.00000E+000   0.33853E-001   0.19024E+006   0.72052E+006   0.00000E+000   0.00000E+000   0.34349E+005   0.39415E+005   0.24578E+007   0.00000E+000
     21600   0.00000E+000   0.34820E-001   0.19019E+006   0.72052E+006   0.00000E+000   0.00000E+000   0.34305E+005   0.39412E+005   0.24578E+007   0.00000E+000
     22200   0.00000E+000   0.35788E-001   0.19014E+006   0.72051E+006   0.00000E+000   0.00000E+000   0.34266E+005   0.39409E+005   0.24579E+007   0.00000E+000
     22800   0.00000E+000   0.36755E-001   0.19010E+006   0.72050E+006   0.00000E+000   0.00000E+000   0.34235E+005   0.39409E+005   0.24579E+007   0.00000E+000
     23400   0.00000E+000   0.37722E-001   0.19007E+006   0.72049E+006   0.00000E+000   0.00000E+000   0.34206E+005   0.39408E+005   0.24580E+007   0.00000E+000
     24000   0.00000E+000   0.38689E-001   0.19004E+006   0.72049E+006   0.00000E+000   0.00000E+000   0.34180E+005   0.39407E+005   0.24580E+007   0.00000E+000
     24600   0.00000E+000   0.39657E-001   0.19002E+006   0.72048E+006   0.00000E+000   0.00000E+000   0.34157E+005   0.39407E+005   0.24580E+007   0.00000E+000
     25200   0.00000E+000   0.40624E-001   0.19000E+006   0.72047E+006   0.00000E+000   0.00000E+000   0.34137E+005   0.39407E+005   0.24581E+007   0.00000E+000
     25800   0.00000E+000   0.41591E-001   0.18998E+006   0.72047E+006   0.00000E+000   0.00000E+000   0.34118E+005   0.39408E+005   0.24581E+007   0.00000E+000
     26400   0.00000E+000   0.42559E-001   0.18998E+006   0.72046E+006   0.00000E+000   0.00000E+000   0.34106E+005   0.39410E+005   0.24581E+007   0.00000E+000
     27000   0.00000E+000   0.43526E-001   0.18997E+006   0.72045E+006   0.00000E+000   0.00000E+000   0.34089E+005   0.39411E+005   0.24581E+007   0.00000E+000
     27600   0.00000E+000   0.44493E-001   0.18996E+006   0.72045E+006   0.00000E+000   0.00000E+000   0.34075E+005   0.39413E+005   0.24581E+007   0.00000E+000
     28200   0.00000E+000   0.45460E-001   0.18996E+006   0.72044E+006   0.00000E+000   0.00000E+000   0.34065E+005   0.39416E+005   0.24581E+007   0.00000E+000
     28800   0.00000E+000   0.46428E-001   0.20380E+006   0.71729E+006   0.00000E+000   0.00000E+000   0.37138E+005   0.41868E+005   0.24472E+007   0.24126E+001
     29400   0.54445E+000   0.47395E-001   0.21088E+006   0.71697E+006   0.00000E+000   0.00000E+000   0.37327E+005   0.43624E+005   0.24425E+007   0.72297E+001
     30000   0.15245E+001   0.48362E-001   0.28948E+006   0.68911E+006   0.00000E+000   0.00000E+000   0.50007E+005   0.59921E+005   0.23774E+007   0.12047E+002
     30600   0.26182E+001   0.49330E-001   0.30857E+006   0.67715E+006   0.00000E+000   0.00000E+000   0.54712E+005   0.63335E+005   0.23426E+007   0.15904E+002
     31200   0.36134E+001   0.50297E-001   0.29872E+006   0.67817E+006   0.00000E+000   0.00000E+000   0.52869E+005   0.61121E+005   0.23432E+007   0.19969E+002
