   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
    1  1259.63100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1259.63100    -0.94190     1.93281     0.00028     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    2  1265.59900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1265.59900    -0.82853     1.94183     0.00024     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    3  1240.37600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1240.37600    -0.87140     1.95411     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    4  1231.37400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1231.37400    -0.93227     1.49679     0.00021     1.74711     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    5  1240.74300     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1240.74300    -0.65285     2.00000     0.00020     1.48309     0.18941           1   0.00000E+000   0.00000E+000   0.00000E+000
    6  1203.40600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1203.40600    -0.53827     1.98799     0.00016     1.23035     0.32373           0   0.00000E+000   0.00000E+000   0.00000E+000
    7  1213.04500     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1213.04500    -0.57290     2.00000     0.00018     1.31102     0.29172           1   0.00000E+000   0.00000E+000   0.00000E+000
    8  1267.55200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1267.55200    -0.71970     1.96328     0.00022     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    9  1187.25800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1187.25800    -0.42543     1.86548     0.00012     0.94072     0.49996           0   0.00000E+000   0.00000E+000   0.00000E+000
   10  1195.85800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1195.85800    -0.81293     1.12845     0.00014     1.37492     0.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   11  1237.01800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1237.01800    -0.69389     1.36292     0.00014     1.27542     0.14071           0   0.00000E+000   0.00000E+000   0.00000E+000
   12  1279.33300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1279.33300    -0.67675     1.96849     0.00020     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   13  1185.70100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1185.70100    -0.81887     1.94250     0.00024     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   14  1174.49500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1174.49500    -0.51093     1.57131     0.00012     1.01865     0.37857           0   0.00000E+000   0.00000E+000   0.00000E+000
   15  1171.47000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1171.47000    -0.56998     0.87710     0.00007     0.91042     0.29566           1   0.00000E+000   0.00000E+000   0.00000E+000
   16  1207.57900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1207.57900    -0.59159     1.44835     0.00013     1.12673     0.24882           0   0.00000E+000   0.00000E+000   0.00000E+000
   17  1250.62100     0.00003     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1250.62100    -0.32063     2.00000     0.00010     0.74719     0.68991           0   0.00000E+000   0.00000E+000   0.00000E+000
   18  1059.99900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1059.99900    -0.62947     1.84447     0.00017     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
