datetime,rain(mm),maxval
1990/07/02 00:00,     0.000,     0.000
1990/07/02 01:00,     3.000,     3.000
1990/07/02 02:00,     5.000,     5.000
1990/07/02 03:00,     9.000,     9.000
1990/07/02 04:00,    12.000,    12.000
1990/07/02 05:00,    14.000,    14.000
1990/07/02 06:00,    17.000,    17.000
1990/07/02 07:00,    31.000,    31.000
1990/07/02 08:00,    43.000,    43.000
1990/07/02 09:00,    57.000,    57.000
1990/07/02 10:00,    67.000,    67.000
1990/07/02 11:00,    65.000,    65.000
1990/07/02 12:00,    33.000,    33.000
1990/07/02 13:00,     9.000,     9.000
1990/07/02 14:00,    11.000,    11.000
1990/07/02 15:00,    23.000,    23.000
1990/07/02 16:00,    19.000,    19.000
1990/07/02 17:00,     6.000,     6.000
1990/07/02 18:00,     2.000,     2.000
1990/07/02 19:00,     7.000,     7.000
1990/07/02 20:00,     1.000,     1.000
1990/07/02 21:00,     0.000,     0.000
1990/07/02 22:00,     1.000,     1.000
1990/07/02 23:00,    11.000,    11.000
1990/07/03 00:00,     2.000,     2.000
