 x(s(i)),y(s(i)),s(i),i
    13215.00000,   -12855.00000,    1,    1
    13365.00000,   -12855.00000,    2,    2
    13185.00000,   -12825.00000,    3,    3
    13485.00000,   -12795.00000,    8,    4
    13515.00000,   -12765.00000,   12,    5
    13125.00000,   -12735.00000,   13,    6
    12555.00000,   -12705.00000,   18,    7
    12885.00000,   -12675.00000,   27,    8
    13995.00000,   -12675.00000,   32,    9
    13785.00000,   -12645.00000,   39,   10
    10395.00000,   -12615.00000,   41,   11
    12015.00000,   -12615.00000,   42,   12
    12675.00000,   -12615.00000,   48,   13
    13425.00000,   -12615.00000,   55,   14
    13665.00000,   -12615.00000,   56,   15
    11355.00000,   -12555.00000,   72,   16
    13035.00000,   -12555.00000,   86,   17
    13425.00000,   -12555.00000,   89,   18
    13635.00000,   -12555.00000,   90,   19
    14055.00000,   -12555.00000,   94,   20
    12495.00000,   -12525.00000,  107,   21
    12915.00000,   -12495.00000,  133,   22
    10965.00000,   -12465.00000,  143,   23
    11115.00000,   -12465.00000,  144,   24
    11235.00000,   -12465.00000,  145,   25
    10725.00000,   -12435.00000,  162,   26
    10815.00000,   -12435.00000,  163,   27
    11775.00000,   -12435.00000,  167,   28
    13365.00000,   -12405.00000,  194,   29
    13605.00000,   -12405.00000,  195,   30
    11445.00000,   -12375.00000,  210,   31
    11655.00000,   -12375.00000,  211,   32
    12075.00000,   -12375.00000,  213,   33
    10485.00000,   -12345.00000,  222,   34
    13215.00000,   -12345.00000,  237,   35
    12825.00000,   -12315.00000,  253,   36
    14025.00000,   -12315.00000,  260,   37
    12735.00000,   -12285.00000,  271,   38
    13365.00000,   -12285.00000,  275,   39
    12975.00000,   -12255.00000,  294,   40
    13575.00000,   -12255.00000,  298,   41
    12435.00000,   -12225.00000,  314,   42
    13905.00000,   -12225.00000,  325,   43
    12585.00000,   -12195.00000,  340,   44
    14145.00000,   -12165.00000,  365,   45
    12705.00000,   -12135.00000,  372,   46
    10965.00000,   -12105.00000,  384,   47
    11295.00000,   -12105.00000,  388,   48
    13935.00000,   -12105.00000,  404,   49
    11535.00000,   -12075.00000,  408,   50
    14295.00000,   -12075.00000,  422,   51
    11355.00000,   -12045.00000,  425,   52
    12675.00000,   -12045.00000,  431,   53
    13455.00000,   -12045.00000,  435,   54
    11805.00000,   -12015.00000,  443,   55
    12195.00000,   -12015.00000,  446,   56
    13035.00000,   -12015.00000,  453,   57
    14115.00000,   -12015.00000,  457,   58
    11745.00000,   -11985.00000,  467,   59
    13665.00000,   -11985.00000,  483,   60
    13965.00000,   -11985.00000,  487,   61
    11025.00000,   -11955.00000,  490,   62
    11445.00000,   -11955.00000,  494,   63
    11145.00000,   -11925.00000,  509,   64
    11205.00000,   -11925.00000,  510,   65
    13185.00000,   -11925.00000,  524,   66
    13425.00000,   -11925.00000,  527,   67
    13665.00000,   -11925.00000,  528,   68
    14355.00000,   -11925.00000,  534,   69
    11295.00000,   -11865.00000,  565,   70
    12465.00000,   -11865.00000,  572,   71
    11475.00000,   -11835.00000,  582,   72
    12285.00000,   -11835.00000,  586,   73
    13425.00000,   -11835.00000,  593,   74
    12975.00000,   -11805.00000,  606,   75
    13125.00000,   -11805.00000,  607,   76
    13995.00000,   -11805.00000,  613,   77
    13725.00000,   -11775.00000,  630,   78
    13575.00000,   -11745.00000,  651,   79
    14115.00000,   -11715.00000,  671,   80
    11565.00000,   -11685.00000,  675,   81
    14445.00000,   -11685.00000,  690,   82
    11715.00000,   -11655.00000,  692,   83
    12675.00000,   -11625.00000,  715,   84
    12045.00000,   -11595.00000,  725,   85
    13365.00000,   -11595.00000,  734,   86
    13005.00000,   -11565.00000,  750,   87
    13755.00000,   -11535.00000,  770,   88
    14205.00000,   -11535.00000,  774,   89
    12825.00000,   -11475.00000,  801,   90
    14295.00000,   -11475.00000,  810,   91
    12495.00000,   -11445.00000,  817,   92
    13695.00000,   -11445.00000,  824,   93
    13365.00000,   -11385.00000,  864,   94
    13605.00000,   -11355.00000,  882,   95
    12585.00000,   -11325.00000,  892,   96
    13125.00000,   -11325.00000,  896,   97
    14055.00000,   -11295.00000,  920,   98
    14145.00000,   -11295.00000,  921,   99
    12015.00000,   -11235.00000,  942,  100
    12705.00000,   -11205.00000,  963,  101
    13065.00000,   -11205.00000,  966,  102
    13515.00000,   -11175.00000,  985,  103
    13605.00000,   -11115.00000, 1018,  104
