         836
x,y,i,j
      12520.000,     -10335.000,  314,    3
      12530.000,     -10325.000,  315,    4
      12540.000,     -10315.000,  316,    5
      12540.000,     -10305.000,  316,    6
      12550.000,     -10295.000,  317,    7
      12560.000,     -10285.000,  318,    8
      12570.000,     -10275.000,  319,    9
      12580.000,     -10265.000,  320,   10
      12590.000,     -10255.000,  321,   11
      12600.000,     -10245.000,  322,   12
      12610.000,     -10235.000,  323,   13
      12620.000,     -10225.000,  324,   14
      12630.000,     -10215.000,  325,   15
      12630.000,     -10205.000,  325,   16
      12640.000,     -10195.000,  326,   17
      12650.000,     -10185.000,  327,   18
      12660.000,     -10175.000,  328,   19
      12670.000,     -10165.000,  329,   20
      12680.000,     -10155.000,  330,   21
      12690.000,     -10145.000,  331,   22
      12700.000,     -10135.000,  332,   23
      12710.000,     -10125.000,  333,   24
      12710.000,     -10115.000,  333,   25
      12720.000,     -10105.000,  334,   26
      12730.000,     -10095.000,  335,   27
      12740.000,     -10085.000,  336,   28
      12750.000,     -10075.000,  337,   29
      12760.000,     -10065.000,  338,   30
      12770.000,     -10055.000,  339,   31
      12780.000,     -10045.000,  340,   32
      12790.000,     -10035.000,  341,   33
      12790.000,     -10025.000,  341,   34
      12800.000,     -10015.000,  342,   35
      12810.000,     -10005.000,  343,   36
      12820.000,      -9995.000,  344,   37
      12820.000,      -9985.000,  344,   38
      12820.000,      -9975.000,  344,   39
      12820.000,      -9965.000,  344,   40
      12810.000,      -9955.000,  343,   41
      12810.000,      -9945.000,  343,   42
      12810.000,      -9935.000,  343,   43
      12810.000,      -9925.000,  343,   44
      12810.000,      -9915.000,  343,   45
      12810.000,      -9905.000,  343,   46
      12800.000,      -9895.000,  342,   47
      12800.000,      -9885.000,  342,   48
      12800.000,      -9875.000,  342,   49
      12800.000,      -9865.000,  342,   50
      12800.000,      -9855.000,  342,   51
      12790.000,      -9845.000,  341,   52
      12790.000,      -9835.000,  341,   53
      12790.000,      -9825.000,  341,   54
      12790.000,      -9815.000,  341,   55
      12790.000,      -9805.000,  341,   56
      12790.000,      -9795.000,  341,   57
      12780.000,      -9785.000,  340,   58
      12780.000,      -9775.000,  340,   59
      12780.000,      -9765.000,  340,   60
      12780.000,      -9755.000,  340,   61
      12780.000,      -9745.000,  340,   62
      12770.000,      -9735.000,  339,   63
      12770.000,      -9725.000,  339,   64
      12770.000,      -9715.000,  339,   65
      12770.000,      -9705.000,  339,   66
      12770.000,      -9695.000,  339,   67
      12770.000,      -9685.000,  339,   68
      12760.000,      -9675.000,  338,   69
      12760.000,      -9665.000,  338,   70
      12760.000,      -9655.000,  338,   71
      12760.000,      -9645.000,  338,   72
      12760.000,      -9635.000,  338,   73
      12750.000,      -9625.000,  337,   74
      12750.000,      -9615.000,  337,   75
      12750.000,      -9605.000,  337,   76
      12750.000,      -9595.000,  337,   77
      12750.000,      -9585.000,  337,   78
      12750.000,      -9575.000,  337,   79
      12740.000,      -9565.000,  336,   80
      12740.000,      -9555.000,  336,   81
      12740.000,      -9545.000,  336,   82
      12740.000,      -9535.000,  336,   83
      12740.000,      -9525.000,  336,   84
      12740.000,      -9515.000,  336,   85
      12730.000,      -9505.000,  335,   86
      12730.000,      -9495.000,  335,   87
      12730.000,      -9485.000,  335,   88
      12730.000,      -9475.000,  335,   89
      12730.000,      -9465.000,  335,   90
      12730.000,      -9455.000,  335,   91
      12730.000,      -9445.000,  335,   92
      12730.000,      -9435.000,  335,   93
      12730.000,      -9425.000,  335,   94
      12730.000,      -9415.000,  335,   95
      12730.000,      -9405.000,  335,   96
      12730.000,      -9395.000,  335,   97
      12730.000,      -9385.000,  335,   98
      12730.000,      -9375.000,  335,   99
      12720.000,      -9365.000,  334,  100
      12720.000,      -9355.000,  334,  101
      12720.000,      -9345.000,  334,  102
      12720.000,      -9335.000,  334,  103
      12720.000,      -9325.000,  334,  104
      12720.000,      -9315.000,  334,  105
      12720.000,      -9305.000,  334,  106
      12720.000,      -9295.000,  334,  107
      12720.000,      -9285.000,  334,  108
      12720.000,      -9275.000,  334,  109
      12720.000,      -9265.000,  334,  110
      12720.000,      -9255.000,  334,  111
      12720.000,      -9245.000,  334,  112
      12720.000,      -9235.000,  334,  113
      12710.000,      -9225.000,  333,  114
      12710.000,      -9215.000,  333,  115
      12710.000,      -9205.000,  333,  116
      12710.000,      -9195.000,  333,  117
      12710.000,      -9185.000,  333,  118
      12710.000,      -9175.000,  333,  119
      12710.000,      -9165.000,  333,  120
      12710.000,      -9155.000,  333,  121
      12710.000,      -9145.000,  333,  122
      12710.000,      -9135.000,  333,  123
      12710.000,      -9125.000,  333,  124
      12710.000,      -9115.000,  333,  125
      12710.000,      -9105.000,  333,  126
      12710.000,      -9095.000,  333,  127
      12700.000,      -9085.000,  332,  128
      12700.000,      -9075.000,  332,  129
      12700.000,      -9065.000,  332,  130
      12700.000,      -9055.000,  332,  131
      12700.000,      -9045.000,  332,  132
      12700.000,      -9035.000,  332,  133
      12700.000,      -9025.000,  332,  134
      12700.000,      -9015.000,  332,  135
      12700.000,      -9005.000,  332,  136
      12700.000,      -8995.000,  332,  137
      12700.000,      -8985.000,  332,  138
      12700.000,      -8975.000,  332,  139
      12700.000,      -8965.000,  332,  140
      12700.000,      -8955.000,  332,  141
      12690.000,      -8945.000,  331,  142
      12690.000,      -8935.000,  331,  143
      12690.000,      -8925.000,  331,  144
      12690.000,      -8915.000,  331,  145
      12690.000,      -8905.000,  331,  146
      12690.000,      -8895.000,  331,  147
      12690.000,      -8885.000,  331,  148
      12690.000,      -8875.000,  331,  149
      12690.000,      -8865.000,  331,  150
      12690.000,      -8855.000,  331,  151
      12690.000,      -8845.000,  331,  152
      12690.000,      -8835.000,  331,  153
      12690.000,      -8825.000,  331,  154
      12690.000,      -8815.000,  331,  155
      12690.000,      -8805.000,  331,  156
      12690.000,      -8795.000,  331,  157
      12690.000,      -8785.000,  331,  158
      12690.000,      -8775.000,  331,  159
      12690.000,      -8765.000,  331,  160
      12690.000,      -8755.000,  331,  161
      12690.000,      -8745.000,  331,  162
      12700.000,      -8735.000,  332,  163
      12700.000,      -8725.000,  332,  164
      12700.000,      -8715.000,  332,  165
      12700.000,      -8705.000,  332,  166
      12700.000,      -8695.000,  332,  167
      12700.000,      -8685.000,  332,  168
      12700.000,      -8675.000,  332,  169
      12710.000,      -8665.000,  333,  170
      12710.000,      -8655.000,  333,  171
      12710.000,      -8645.000,  333,  172
      12710.000,      -8635.000,  333,  173
      12710.000,      -8625.000,  333,  174
      12710.000,      -8615.000,  333,  175
      12710.000,      -8605.000,  333,  176
      12710.000,      -8595.000,  333,  177
      12720.000,      -8585.000,  334,  178
      12720.000,      -8575.000,  334,  179
      12720.000,      -8565.000,  334,  180
      12720.000,      -8555.000,  334,  181
      12720.000,      -8545.000,  334,  182
      12720.000,      -8535.000,  334,  183
      12720.000,      -8525.000,  334,  184
      12730.000,      -8515.000,  335,  185
      12730.000,      -8505.000,  335,  186
      12730.000,      -8495.000,  335,  187
      12730.000,      -8485.000,  335,  188
      12730.000,      -8475.000,  335,  189
      12730.000,      -8465.000,  335,  190
      12730.000,      -8455.000,  335,  191
      12730.000,      -8445.000,  335,  192
      12740.000,      -8435.000,  336,  193
      12740.000,      -8425.000,  336,  194
      12740.000,      -8415.000,  336,  195
      12740.000,      -8405.000,  336,  196
      12740.000,      -8395.000,  336,  197
      12740.000,      -8385.000,  336,  198
      12740.000,      -8375.000,  336,  199
      12750.000,      -8365.000,  337,  200
      12750.000,      -8355.000,  337,  201
      12750.000,      -8345.000,  337,  202
      12750.000,      -8335.000,  337,  203
      12750.000,      -8325.000,  337,  204
      12750.000,      -8315.000,  337,  205
      12750.000,      -8305.000,  337,  206
      12750.000,      -8295.000,  337,  207
      12760.000,      -8285.000,  338,  208
      12760.000,      -8275.000,  338,  209
      12760.000,      -8265.000,  338,  210
      12760.000,      -8255.000,  338,  211
      12760.000,      -8245.000,  338,  212
      12760.000,      -8235.000,  338,  213
      12760.000,      -8225.000,  338,  214
      12770.000,      -8215.000,  339,  215
      12770.000,      -8205.000,  339,  216
      12770.000,      -8195.000,  339,  217
      12770.000,      -8185.000,  339,  218
      12770.000,      -8175.000,  339,  219
      12770.000,      -8165.000,  339,  220
      12770.000,      -8155.000,  339,  221
      12780.000,      -8145.000,  340,  222
      12780.000,      -8135.000,  340,  223
      12780.000,      -8125.000,  340,  224
      12780.000,      -8115.000,  340,  225
      12780.000,      -8105.000,  340,  226
      12790.000,      -8095.000,  341,  227
      12790.000,      -8085.000,  341,  228
      12790.000,      -8075.000,  341,  229
      12790.000,      -8065.000,  341,  230
      12790.000,      -8055.000,  341,  231
      12790.000,      -8045.000,  341,  232
      12800.000,      -8035.000,  342,  233
      12800.000,      -8025.000,  342,  234
      12800.000,      -8015.000,  342,  235
      12800.000,      -8005.000,  342,  236
      12800.000,      -7995.000,  342,  237
      12810.000,      -7985.000,  343,  238
      12810.000,      -7975.000,  343,  239
      12810.000,      -7965.000,  343,  240
      12810.000,      -7955.000,  343,  241
      12810.000,      -7945.000,  343,  242
      12820.000,      -7935.000,  344,  243
      12820.000,      -7925.000,  344,  244
      12820.000,      -7915.000,  344,  245
      12820.000,      -7905.000,  344,  246
      12820.000,      -7895.000,  344,  247
      12820.000,      -7885.000,  344,  248
      12830.000,      -7875.000,  345,  249
      12830.000,      -7865.000,  345,  250
      12830.000,      -7855.000,  345,  251
      12830.000,      -7845.000,  345,  252
      12830.000,      -7835.000,  345,  253
      12840.000,      -7825.000,  346,  254
      12840.000,      -7815.000,  346,  255
      12840.000,      -7805.000,  346,  256
      12840.000,      -7795.000,  346,  257
      12840.000,      -7785.000,  346,  258
      12850.000,      -7775.000,  347,  259
      12850.000,      -7765.000,  347,  260
      12850.000,      -7755.000,  347,  261
      12850.000,      -7745.000,  347,  262
      12850.000,      -7735.000,  347,  263
      12850.000,      -7725.000,  347,  264
      12860.000,      -7715.000,  348,  265
      12860.000,      -7705.000,  348,  266
      12860.000,      -7695.000,  348,  267
      12860.000,      -7685.000,  348,  268
      12860.000,      -7675.000,  348,  269
      12870.000,      -7665.000,  349,  270
      12870.000,      -7655.000,  349,  271
      12870.000,      -7645.000,  349,  272
      12870.000,      -7635.000,  349,  273
      12870.000,      -7625.000,  349,  274
      12880.000,      -7615.000,  350,  275
      12880.000,      -7605.000,  350,  276
      12880.000,      -7595.000,  350,  277
      12880.000,      -7585.000,  350,  278
      12880.000,      -7575.000,  350,  279
      12880.000,      -7565.000,  350,  280
      12890.000,      -7555.000,  351,  281
      12890.000,      -7545.000,  351,  282
      12890.000,      -7535.000,  351,  283
      12890.000,      -7525.000,  351,  284
      12890.000,      -7515.000,  351,  285
      12900.000,      -7505.000,  352,  286
      12900.000,      -7495.000,  352,  287
      12900.000,      -7485.000,  352,  288
      12900.000,      -7475.000,  352,  289
      12900.000,      -7465.000,  352,  290
      12910.000,      -7455.000,  353,  291
      12910.000,      -7445.000,  353,  292
      12910.000,      -7435.000,  353,  293
      12910.000,      -7425.000,  353,  294
      12910.000,      -7415.000,  353,  295
      12910.000,      -7405.000,  353,  296
      12920.000,      -7395.000,  354,  297
      12920.000,      -7385.000,  354,  298
      12920.000,      -7375.000,  354,  299
      12920.000,      -7365.000,  354,  300
      12920.000,      -7355.000,  354,  301
      12930.000,      -7345.000,  355,  302
      12930.000,      -7335.000,  355,  303
      12930.000,      -7325.000,  355,  304
      12930.000,      -7315.000,  355,  305
      12930.000,      -7305.000,  355,  306
      12940.000,      -7295.000,  356,  307
      12940.000,      -7285.000,  356,  308
      12940.000,      -7275.000,  356,  309
      12940.000,      -7265.000,  356,  310
      12940.000,      -7255.000,  356,  311
      12940.000,      -7245.000,  356,  312
      12950.000,      -7235.000,  357,  313
      12950.000,      -7225.000,  357,  314
      12950.000,      -7215.000,  357,  315
      12950.000,      -7205.000,  357,  316
      12950.000,      -7195.000,  357,  317
      12960.000,      -7185.000,  358,  318
      12960.000,      -7175.000,  358,  319
      12960.000,      -7165.000,  358,  320
      12960.000,      -7155.000,  358,  321
      12960.000,      -7145.000,  358,  322
      12960.000,      -7135.000,  358,  323
      12970.000,      -7125.000,  359,  324
      12970.000,      -7115.000,  359,  325
      12970.000,      -7105.000,  359,  326
      12970.000,      -7095.000,  359,  327
      12970.000,      -7085.000,  359,  328
      12980.000,      -7075.000,  360,  329
      12980.000,      -7065.000,  360,  330
      12980.000,      -7055.000,  360,  331
      12980.000,      -7045.000,  360,  332
      12980.000,      -7035.000,  360,  333
      12990.000,      -7025.000,  361,  334
      12990.000,      -7015.000,  361,  335
      12990.000,      -7005.000,  361,  336
      12990.000,      -6995.000,  361,  337
      12990.000,      -6985.000,  361,  338
      13000.000,      -6975.000,  362,  339
      13000.000,      -6965.000,  362,  340
      13000.000,      -6955.000,  362,  341
      13000.000,      -6945.000,  362,  342
      13000.000,      -6935.000,  362,  343
      13000.000,      -6925.000,  362,  344
      13010.000,      -6915.000,  363,  345
      13010.000,      -6905.000,  363,  346
      13010.000,      -6895.000,  363,  347
      13010.000,      -6885.000,  363,  348
      13010.000,      -6875.000,  363,  349
      13020.000,      -6865.000,  364,  350
      13020.000,      -6855.000,  364,  351
      13020.000,      -6845.000,  364,  352
      13020.000,      -6835.000,  364,  353
      13020.000,      -6825.000,  364,  354
      13030.000,      -6815.000,  365,  355
      13030.000,      -6805.000,  365,  356
      13030.000,      -6795.000,  365,  357
      13030.000,      -6785.000,  365,  358
      13030.000,      -6775.000,  365,  359
      13030.000,      -6765.000,  365,  360
      13040.000,      -6755.000,  366,  361
      13040.000,      -6745.000,  366,  362
      13040.000,      -6735.000,  366,  363
      13040.000,      -6725.000,  366,  364
      13040.000,      -6715.000,  366,  365
      13050.000,      -6705.000,  367,  366
      13050.000,      -6695.000,  367,  367
      13050.000,      -6685.000,  367,  368
      13050.000,      -6675.000,  367,  369
      13050.000,      -6665.000,  367,  370
      13060.000,      -6655.000,  368,  371
      13060.000,      -6645.000,  368,  372
