 x,y,i,j,dx,deg
     -26280.000,      48090.000,    2,  161,    42.426,    45.000
     -26280.000,      48120.000,    2,  162,    42.426,    45.000
     -26280.000,      48135.000,    2,  163,    30.000,  -270.000
     -26250.000,      48060.000,    3,  160,    42.426,    45.000
     -26250.000,      48075.000,    3,  161,    30.000,  -270.000
     -26250.000,      48090.000,    3,  162,    42.426,  -225.000
     -26250.000,      48120.000,    3,  163,    42.426,  -225.000
     -26250.000,      48900.000,    3,  188,    42.426,    45.000
     -26250.000,      48930.000,    3,  189,    42.426,    45.000
     -26250.000,      48960.000,    3,  190,    42.426,    45.000
     -26250.000,      48975.000,    3,  191,    30.000,  -270.000
     -26250.000,      48990.000,    3,  192,    42.426,  -225.000
     -26250.000,      49020.000,    3,  193,    42.426,  -225.000
     -26235.000,      48030.000,    4,  159,    30.000,     0.000
     -26220.000,      48060.000,    4,  160,    42.426,    45.000
     -26220.000,      48090.000,    4,  161,    42.426,    45.000
     -26220.000,      48105.000,    4,  162,    30.000,  -270.000
     -26220.000,      48120.000,    4,  163,    42.426,  -225.000
     -26220.000,      48165.000,    4,  164,    30.000,  -270.000
     -26220.000,      48180.000,    4,  165,    42.426,  -225.000
     -26220.000,      48210.000,    4,  166,    42.426,  -225.000
     -26220.000,      48870.000,    4,  187,    42.426,    45.000
     -26220.000,      48885.000,    4,  188,    30.000,  -270.000
     -26220.000,      48930.000,    4,  189,    42.426,    45.000
     -26220.000,      48945.000,    4,  190,    30.000,  -270.000
     -26220.000,      48960.000,    4,  191,    42.426,  -225.000
     -26220.000,      48990.000,    4,  192,    42.426,  -225.000
     -26220.000,      49035.000,    4,  193,    30.000,  -270.000
     -26220.000,      49050.000,    4,  194,    42.426,  -225.000
     -26220.000,      49080.000,    4,  195,    42.426,  -225.000
     -26220.000,      49110.000,    4,  196,    42.426,  -225.000
     -26190.000,      48000.000,    5,  158,    42.426,    45.000
     -26190.000,      48015.000,    5,  159,    30.000,  -270.000
     -26190.000,      48030.000,    5,  160,    42.426,  -225.000
     -26205.000,      48090.000,    5,  161,    30.000,     0.000
     -26190.000,      48120.000,    5,  162,    42.426,    45.000
     -26190.000,      48150.000,    5,  163,    42.426,    45.000
     -26190.000,      48165.000,    5,  164,    30.000,  -270.000
     -26190.000,      48180.000,    5,  165,    42.426,  -225.000
     -26190.000,      48210.000,    5,  166,    42.426,  -225.000
     -26190.000,      48240.000,    5,  167,    42.426,  -225.000
     -26190.000,      48840.000,    5,  186,    42.426,    45.000
     -26190.000,      48870.000,    5,  187,    42.426,    45.000
     -26190.000,      48885.000,    5,  188,    30.000,  -270.000
     -26190.000,      48930.000,    5,  189,    42.426,    45.000
     -26190.000,      48945.000,    5,  190,    30.000,  -270.000
     -26190.000,      48960.000,    5,  191,    42.426,  -225.000
     -26190.000,      49005.000,    5,  192,    30.000,  -270.000
     -26190.000,      49020.000,    5,  193,    42.426,  -225.000
     -26190.000,      49080.000,    5,  194,    42.426,    45.000
     -26190.000,      49095.000,    5,  195,    30.000,  -270.000
     -26190.000,      49110.000,    5,  196,    42.426,  -225.000
     -26190.000,      49140.000,    5,  197,    42.426,  -225.000
     -26160.000,      48000.000,    6,  158,    42.426,    45.000
     -26160.000,      48015.000,    6,  159,    30.000,  -270.000
     -26160.000,      48030.000,    6,  160,    42.426,  -225.000
     -26190.000,      48090.000,    6,  161,    42.426,   -45.000
     -26175.000,      48120.000,    6,  162,    30.000,     0.000
     -26175.000,      48150.000,    6,  163,    30.000,     0.000
     -26160.000,      48180.000,    6,  164,    42.426,    45.000
     -26160.000,      48210.000,    6,  165,    42.426,    45.000
     -26160.000,      48225.000,    6,  166,    30.000,  -270.000
     -26160.000,      48240.000,    6,  167,    42.426,  -225.000
     -26160.000,      48720.000,    6,  182,    42.426,    45.000
     -26160.000,      48735.000,    6,  183,    30.000,  -270.000
     -26160.000,      48750.000,    6,  184,    42.426,  -225.000
     -26160.000,      48810.000,    6,  185,    42.426,    45.000
     -26160.000,      48840.000,    6,  186,    42.426,    45.000
     -26160.000,      48855.000,    6,  187,    30.000,  -270.000
     -26160.000,      48870.000,    6,  188,    42.426,  -225.000
     -26160.000,      48900.000,    6,  189,    42.426,  -225.000
     -26160.000,      48930.000,    6,  190,    42.426,  -225.000
     -26160.000,      48960.000,    6,  191,    42.426,  -225.000
     -26160.000,      48990.000,    6,  192,    42.426,  -225.000
     -26160.000,      49020.000,    6,  193,    42.426,  -225.000
     -26160.000,      49065.000,    6,  194,    30.000,  -270.000
     -26160.000,      49080.000,    6,  195,    42.426,  -225.000
     -26175.000,      49110.000,    6,  196,    30.000,  -180.000
     -26175.000,      49140.000,    6,  197,    30.000,  -180.000
     -26160.000,      49200.000,    6,  198,    42.426,    45.000
     -26160.000,      49215.000,    6,  199,    30.000,  -270.000
     -26145.000,      48000.000,    7,  158,    30.000,     0.000
     -26130.000,      48030.000,    7,  159,    42.426,    45.000
     -26130.000,      48045.000,    7,  160,    30.000,  -270.000
     -26130.000,      48060.000,    7,  161,    42.426,  -225.000
     -26160.000,      48120.000,    7,  162,    42.426,   -45.000
     -26160.000,      48150.000,    7,  163,    42.426,   -45.000
     -26145.000,      48180.000,    7,  164,    30.000,     0.000
     -26145.000,      48210.000,    7,  165,    30.000,     0.000
     -26130.000,      48240.000,    7,  166,    42.426,    45.000
     -26130.000,      48255.000,    7,  167,    30.000,  -270.000
     -26130.000,      48270.000,    7,  168,    42.426,  -225.000
     -26130.000,      48300.000,    7,  169,    42.426,  -225.000
     -26130.000,      48630.000,    7,  180,    42.426,  -225.000
     -26130.000,      48690.000,    7,  181,    42.426,    45.000
     -26130.000,      48720.000,    7,  182,    42.426,    45.000
     -26130.000,      48750.000,    7,  183,    42.426,    45.000
     -26130.000,      48780.000,    7,  184,    42.426,    45.000
     -26130.000,      48810.000,    7,  185,    42.426,    45.000
     -26130.000,      48825.000,    7,  186,    30.000,  -270.000
     -26130.000,      48840.000,    7,  187,    42.426,  -225.000
     -26145.000,      48870.000,    7,  188,    30.000,  -180.000
     -26145.000,      48900.000,    7,  189,    30.000,  -180.000
     -26145.000,      48930.000,    7,  190,    30.000,  -180.000
     -26145.000,      48960.000,    7,  191,    30.000,  -180.000
     -26145.000,      48990.000,    7,  192,    30.000,  -180.000
     -26130.000,      49035.000,    7,  193,    30.000,  -270.000
     -26130.000,      49050.000,    7,  194,    42.426,  -225.000
     -26130.000,      49080.000,    7,  195,    42.426,  -225.000
     -26160.000,      49110.000,    7,  196,    42.426,  -135.000
     -26160.000,      49140.000,    7,  197,    42.426,  -135.000
     -26130.000,      49200.000,    7,  198,    42.426,    45.000
     -26130.000,      49215.000,    7,  199,    30.000,  -270.000
     -26130.000,      49230.000,    7,  200,    42.426,  -225.000
     -26130.000,      49260.000,    7,  201,    42.426,  -225.000
     -26130.000,      48000.000,    8,  158,    42.426,   -45.000
     -26100.000,      48030.000,    8,  159,    42.426,    45.000
     -26100.000,      48045.000,    8,  160,    30.000,  -270.000
     -26100.000,      48060.000,    8,  161,    42.426,  -225.000
     -26130.000,      48120.000,    8,  162,    42.426,   -45.000
     -26130.000,      48150.000,    8,  163,    42.426,   -45.000
