         840
x,y,cvx,cvy,f1x,f1y,f2x,f2y,f3x,f3y,cs                                                              
     -18105.000,      43290.000,  275,    2,    0,    0,    0,    1,    0,    0,    30.000
     -18075.000,      43290.000,  276,    2,    0,    0,    0,    1,    0,    0,    30.000
     -18045.000,      43290.000,  277,    2,    0,    0,    0,    1,    0,    0,    30.000
     -18225.000,      43320.000,  271,    3,    0,    0,    0,    1,    0,    0,    30.000
     -18195.000,      43320.000,  272,    3,    0,    0,    0,    1,    0,    0,    30.000
     -18165.000,      43320.000,  273,    3,    0,    0,    0,    1,    0,    0,    30.000
     -18135.000,      43320.000,  274,    3,    0,    0,    0,    1,    0,    0,    30.000
     -18015.000,      43320.000,  278,    3,    0,    0,    0,    1,    0,    0,    30.000
     -20295.000,      43350.000,  202,    4,    0,    0,    0,    1,    0,    0,    30.000
     -20265.000,      43350.000,  203,    4,    0,    0,    0,    1,    0,    0,    30.000
     -18255.000,      43350.000,  270,    4,    0,    0,    0,    1,    0,    0,    30.000
     -17985.000,      43350.000,  279,    4,    0,    0,    0,    1,    0,    0,    30.000
     -20235.000,      43380.000,  204,    5,    0,    0,    0,    1,    0,    0,    30.000
     -20325.000,      43410.000,  201,    6,    0,    0,    0,    1,    0,    0,    30.000
     -20205.000,      43410.000,  205,    6,    0,    0,    0,    1,    0,    0,    30.000
     -20175.000,      43410.000,  206,    6,    0,    0,    0,    1,    0,    0,    30.000
     -17955.000,      43410.000,  280,    6,    0,    0,    0,    1,    0,    0,    30.000
     -20925.000,      43440.000,  181,    7,    0,    0,    0,    1,    0,    0,    30.000
     -20895.000,      43440.000,  182,    7,    0,    0,    0,    1,    0,    0,    30.000
     -17925.000,      43440.000,  281,    7,    0,    0,    0,    1,    0,    0,    30.000
     -20865.000,      43470.000,  183,    8,    0,    0,    0,    1,    0,    0,    30.000
     -20835.000,      43470.000,  184,    8,    0,    0,    0,    1,    0,    0,    30.000
     -20805.000,      43470.000,  185,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18435.000,      43470.000,  264,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18405.000,      43470.000,  265,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18375.000,      43470.000,  266,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18345.000,      43470.000,  267,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18315.000,      43470.000,  268,    8,    0,    0,    0,    1,    0,    0,    30.000
     -18285.000,      43470.000,  269,    8,    0,    0,    0,    1,    0,    0,    30.000
     -17895.000,      43470.000,  282,    8,    0,    0,    0,    1,    0,    0,    30.000
     -20955.000,      43500.000,  180,    9,    0,    0,    0,    1,    0,    0,    30.000
     -20355.000,      43500.000,  200,    9,    0,    0,    0,    1,    0,    0,    30.000
     -20145.000,      43500.000,  207,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18975.000,      43500.000,  246,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18945.000,      43500.000,  247,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18915.000,      43500.000,  248,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18615.000,      43500.000,  258,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18585.000,      43500.000,  259,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18555.000,      43500.000,  260,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18525.000,      43500.000,  261,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18495.000,      43500.000,  262,    9,    0,    0,    0,    1,    0,    0,    30.000
     -18465.000,      43500.000,  263,    9,    0,    0,    0,    1,    0,    0,    30.000
     -17625.000,      43500.000,  291,    9,    0,    0,    0,    1,    0,    0,    30.000
     -17595.000,      43500.000,  292,    9,    0,    0,    0,    1,    0,    0,    30.000
     -17565.000,      43500.000,  293,    9,    0,    0,    0,    1,    0,    0,    30.000
     -17535.000,      43500.000,  294,    9,    0,    0,    0,    1,    0,    0,    30.000
     -17505.000,      43500.000,  295,    9,    0,    0,    0,    1,    0,    0,    30.000
     -21075.000,      43530.000,  176,   10,    0,    0,    0,    1,    0,    0,    30.000
     -21045.000,      43530.000,  177,   10,    0,    0,    0,    1,    0,    0,    30.000
     -21015.000,      43530.000,  178,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20985.000,      43530.000,  179,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20115.000,      43530.000,  208,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20085.000,      43530.000,  209,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20055.000,      43530.000,  210,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20025.000,      43530.000,  211,   10,    0,    0,    0,    1,    0,    0,    30.000
     -18885.000,      43530.000,  249,   10,    0,    0,    0,    1,    0,    0,    30.000
     -18855.000,      43530.000,  250,   10,    0,    0,    0,    1,    0,    0,    30.000
     -18675.000,      43530.000,  256,   10,    0,    0,    0,    1,    0,    0,    30.000
     -18645.000,      43530.000,  257,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17865.000,      43530.000,  283,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17835.000,      43530.000,  284,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17805.000,      43530.000,  285,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17775.000,      43530.000,  286,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17745.000,      43530.000,  287,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17715.000,      43530.000,  288,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17685.000,      43530.000,  289,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17655.000,      43530.000,  290,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17475.000,      43530.000,  296,   10,    0,    0,    0,    1,    0,    0,    30.000
     -17445.000,      43530.000,  297,   10,    0,    0,    0,    1,    0,    0,    30.000
     -20385.000,      43560.000,  199,   11,    0,    0,    0,    1,    0,    0,    30.000
