datetime,rain(mm),maxval
2017/07/03 23:10,     0.000,     0.000
2017/07/03 23:20,     0.000,     0.000
2017/07/03 23:30,     0.000,     0.000
2017/07/03 23:40,     0.000,     0.003
2017/07/03 23:50,     0.000,     0.010
2017/07/04 00:00,     0.000,     0.000
2017/07/04 00:10,     0.000,     0.007
2017/07/04 00:20,     0.000,     0.010
2017/07/04 00:30,     0.001,     0.023
2017/07/04 00:40,     0.001,     0.027
2017/07/04 00:50,     0.001,     0.023
2017/07/04 01:00,     0.000,     0.020
2017/07/04 01:10,     0.001,     0.023
2017/07/04 01:20,     0.000,     0.013
2017/07/04 01:30,     0.000,     0.010
2017/07/04 01:40,     0.000,     0.007
2017/07/04 01:50,     0.000,     0.013
2017/07/04 02:00,     0.001,     0.020
2017/07/04 02:10,     0.001,     0.030
2017/07/04 02:20,     0.001,     0.037
2017/07/04 02:30,     0.001,     0.043
2017/07/04 02:40,     0.001,     0.033
2017/07/04 02:50,     0.001,     0.033
2017/07/04 03:00,     0.001,     0.017
2017/07/04 03:10,     0.001,     0.030
2017/07/04 03:20,     0.001,     0.020
2017/07/04 03:30,     0.001,     0.027
2017/07/04 03:40,     0.001,     0.033
2017/07/04 03:50,     0.002,     0.040
2017/07/04 04:00,     0.002,     0.030
2017/07/04 04:10,     0.003,     0.047
2017/07/04 04:20,     0.003,     0.043
2017/07/04 04:30,     0.004,     0.047
2017/07/04 04:40,     0.004,     0.050
2017/07/04 04:50,     0.003,     0.040
2017/07/04 05:00,     0.002,     0.040
2017/07/04 05:10,     0.001,     0.023
2017/07/04 05:20,     0.001,     0.020
2017/07/04 05:30,     0.001,     0.033
2017/07/04 05:40,     0.001,     0.020
2017/07/04 05:50,     0.013,     0.087
2017/07/04 06:00,     0.420,     0.902
2017/07/04 06:10,     1.348,     1.937
2017/07/04 06:20,     1.405,     2.003
2017/07/04 06:30,     1.742,     2.278
2017/07/04 06:40,     2.036,     2.665
2017/07/04 06:50,     2.098,     2.603
2017/07/04 07:00,     2.113,     2.645
2017/07/04 07:10,     1.435,     2.447
2017/07/04 07:20,     0.697,     1.330
2017/07/04 07:30,     0.744,     1.157
2017/07/04 07:40,     0.496,     0.920
2017/07/04 07:50,     0.202,     0.543
2017/07/04 08:00,     0.080,     0.158
2017/07/04 08:10,     0.448,     0.972
2017/07/04 08:20,     1.984,     2.438
2017/07/04 08:30,     1.204,     1.983
2017/07/04 08:40,     1.015,     1.405
2017/07/04 08:50,     1.250,     2.178
2017/07/04 09:00,     0.754,     1.937
2017/07/04 09:10,     0.343,     0.685
2017/07/04 09:20,     0.898,     2.302
2017/07/04 09:30,     1.428,     2.628
2017/07/04 09:40,     1.524,     2.278
2017/07/04 09:50,     1.090,     1.792
2017/07/04 10:00,     0.748,     1.303
2017/07/04 10:10,     0.807,     1.280
2017/07/04 10:20,     0.657,     1.417
2017/07/04 10:30,     0.280,     0.807
2017/07/04 10:40,     0.268,     0.563
2017/07/04 10:50,     0.610,     1.025
2017/07/04 11:00,     0.191,     0.990
2017/07/04 11:10,     1.750,     3.040
2017/07/04 11:20,     1.624,     2.377
