 x(s(i)),y(s(i)),s(i),i
   -18105.00000,    43365.00000,    1,    1
   -20265.00000,    43455.00000,    4,    2
   -18045.00000,    43485.00000,   11,    3
   -20865.00000,    43545.00000,   14,    4
   -18945.00000,    43545.00000,   16,    5
   -18585.00000,    43575.00000,   22,    6
   -17955.00000,    43575.00000,   24,    7
   -17565.00000,    43575.00000,   25,    8
   -20025.00000,    43605.00000,   28,    9
   -21015.00000,    43635.00000,   34,   10
   -20865.00000,    43635.00000,   36,   11
   -20175.00000,    43635.00000,   38,   12
   -18525.00000,    43635.00000,   42,   13
   -17715.00000,    43635.00000,   46,   14
   -19875.00000,    43665.00000,   53,   15
   -18135.00000,    43665.00000,   60,   16
   -17835.00000,    43665.00000,   62,   17
   -17445.00000,    43665.00000,   65,   18
   -18915.00000,    43695.00000,   74,   19
   -18795.00000,    43695.00000,   75,   20
   -21075.00000,    43725.00000,   84,   21
   -20415.00000,    43755.00000,  109,   22
   -17385.00000,    43755.00000,  146,   23
   -21195.00000,    43785.00000,  147,   24
   -20715.00000,    43785.00000,  150,   25
   -20115.00000,    43785.00000,  152,   26
   -19935.00000,    43785.00000,  154,   27
   -17385.00000,    43785.00000,  171,   28
   -20565.00000,    43815.00000,  180,   29
   -17925.00000,    43815.00000,  196,   30
   -19785.00000,    43875.00000,  234,   31
   -18165.00000,    43875.00000,  244,   32
   -17505.00000,    43875.00000,  248,   33
   -19245.00000,    43905.00000,  259,   34
   -19065.00000,    43935.00000,  280,   35
   -21195.00000,    43965.00000,  291,   36
   -20865.00000,    43965.00000,  296,   37
   -18285.00000,    43965.00000,  307,   38
   -20685.00000,    43995.00000,  322,   39
   -17565.00000,    43995.00000,  346,   40
   -20415.00000,    44025.00000,  350,   41
   -19575.00000,    44025.00000,  355,   42
   -18555.00000,    44025.00000,  364,   43
   -21165.00000,    44055.00000,  375,   44
   -18645.00000,    44055.00000,  393,   45
   -18045.00000,    44055.00000,  400,   46
   -17865.00000,    44055.00000,  401,   47
   -17445.00000,    44055.00000,  404,   48
   -19275.00000,    44085.00000,  413,   49
   -19155.00000,    44085.00000,  414,   50
   -18975.00000,    44085.00000,  415,   51
   -20595.00000,    44115.00000,  428,   52
   -19725.00000,    44115.00000,  436,   53
   -20385.00000,    44145.00000,  449,   54
   -20205.00000,    44145.00000,  451,   55
   -21135.00000,    44175.00000,  465,   56
   -17925.00000,    44175.00000,  484,   57
   -18705.00000,    44205.00000,  507,   58
   -18495.00000,    44205.00000,  508,   59
   -20985.00000,    44235.00000,  515,   60
   -19935.00000,    44265.00000,  543,   61
   -20625.00000,    44295.00000,  563,   62
   -20475.00000,    44325.00000,  586,   63
   -19275.00000,    44325.00000,  592,   64
   -19065.00000,    44325.00000,  594,   65
   -18495.00000,    44325.00000,  597,   66
   -17445.00000,    44325.00000,  604,   67
   -20175.00000,    44355.00000,  616,   68
   -18315.00000,    44355.00000,  626,   69
   -17595.00000,    44355.00000,  630,   70
   -18675.00000,    44385.00000,  649,   71
   -20865.00000,    44415.00000,  661,   72
   -21195.00000,    44445.00000,  673,   73
