x,y,b,i,i_to,dx,deg,grad
     -31250.000,    -159900.000,          8.873,    2,    1,         14.142,       -135.000,          2.179
     -31240.000,    -159890.000,          8.872,    3,    2,         14.142,       -135.000,          1.138
     -31230.000,    -159880.000,          8.870,    4,    3,         14.142,       -135.000,          3.379
     -31220.000,    -159875.000,          8.868,    5,    4,         10.000,        -90.000,          7.818
     -31210.000,    -159870.000,          8.867,    6,    5,         14.142,       -135.000,          6.327
     -31200.000,    -159865.000,          8.865,    7,    6,         10.000,        -90.000,          4.141
     -31190.000,    -159860.000,          8.863,    8,    7,         14.142,       -135.000,          2.999
     -31180.000,    -159850.000,          8.859,    9,    8,         14.142,       -135.000,          3.770
     -31175.000,    -159840.000,          8.853,   10,    9,         10.000,       -180.000,          4.130
     -31170.000,    -159830.000,          8.849,   11,   10,         14.142,       -135.000,          4.331
     -31160.000,    -159820.000,          8.847,   12,   11,         14.142,       -135.000,          3.726
     -31155.000,    -159810.000,          8.846,   13,   12,         10.000,       -180.000,          2.571
     -31155.000,    -159800.000,          8.803,   14,   13,         10.000,       -180.000,          3.268
     -31150.000,    -159790.000,          8.802,   15,   14,         14.142,       -135.000,          4.750
     -31140.000,    -159780.000,          8.801,   16,   15,         14.142,       -135.000,          4.898
     -31130.000,    -159770.000,          8.798,   17,   16,         14.142,       -135.000,          6.823
     -31120.000,    -159760.000,          8.797,   18,   17,         14.142,       -135.000,          5.806
     -31110.000,    -159750.000,          8.795,   19,   18,         14.142,       -135.000,          4.914
     -31105.000,    -159740.000,          8.795,   20,   19,         10.000,       -180.000,          2.559
     -31100.000,    -159730.000,          8.793,   21,   20,         14.142,       -135.000,          2.947
     -31090.000,    -159720.000,          6.782,   22,   21,         14.142,       -135.000,          2.292
     -31085.000,    -159710.000,          6.773,   23,   22,         10.000,       -180.000,          1.713
     -31080.000,    -159700.000,          6.547,   24,   23,         14.142,       -135.000,          3.181
     -31070.000,    -159690.000,          6.545,   25,   24,         14.142,       -135.000,          2.110
     -31065.000,    -159680.000,          6.545,   26,   25,         10.000,       -180.000,          2.319
     -31065.000,    -159670.000,          6.542,   27,   26,         10.000,       -180.000,          4.181
     -31065.000,    -159660.000,          6.541,   28,   27,         10.000,       -180.000,          7.565
     -31065.000,    -159650.000,          6.540,   29,   28,         10.000,       -180.000,          4.648
     -31060.000,    -159640.000,          6.538,   30,   29,         14.142,       -135.000,          3.783
     -31055.000,    -159630.000,          6.537,   31,   30,         10.000,       -180.000,          3.200
     -31050.000,    -159620.000,          6.431,   32,   31,         14.142,       -135.000,          5.421
     -31040.000,    -159615.000,          6.430,   33,   32,         10.000,        -90.000,          6.136
     -31030.000,    -159610.000,          6.428,   34,   33,         14.142,       -135.000,          4.230
     -31020.000,    -159605.000,          6.425,   35,   34,         10.000,        -90.000,          4.693
     -31010.000,    -159600.000,          6.423,   36,   35,         14.142,       -135.000,          5.581
     -31000.000,    -159590.000,          6.421,   37,   36,         14.142,       -135.000,          6.006
     -30990.000,    -159580.000,          6.419,   38,   37,         14.142,       -135.000,          5.682
     -30980.000,    -159575.000,          6.419,   39,   38,         10.000,        -90.000,          3.907
     -30970.000,    -159570.000,          6.415,   40,   39,         14.142,       -135.000,          2.692
     -30960.000,    -159565.000,          6.412,   41,   40,         10.000,        -90.000,          2.348
     -30950.000,    -159560.000,          6.410,   42,   41,         14.142,       -135.000,          3.007
     -30940.000,    -159550.000,          6.408,   43,   42,         14.142,       -135.000,          3.746
     -30935.000,    -159540.000,          6.404,   44,   43,         10.000,       -180.000,          2.851
     -30930.000,    -159530.000,          6.403,   45,   44,         14.142,       -135.000,          3.395
     -30925.000,    -159520.000,          6.385,   46,   45,         10.000,       -180.000,          4.130
     -30925.000,    -159510.000,          6.381,   47,   46,         10.000,       -180.000,          3.998
     -30920.000,    -159500.000,          6.369,   48,   47,         14.142,       -135.000,          4.218
     -30910.000,    -159490.000,          6.367,   49,   48,         14.142,       -135.000,          5.059
     -30905.000,    -159480.000,          6.366,   50,   49,         10.000,       -180.000,          7.559
     -30900.000,    -159470.000,          6.365,   51,   50,         14.142,       -135.000,          3.952
     -30890.000,    -159460.000,          6.361,   52,   51,         14.142,       -135.000,          2.320
     -30880.000,    -159450.000,          6.360,   53,   52,         14.142,       -135.000,          3.003
     -30870.000,    -159445.000,          6.071,   54,   53,         10.000,        -90.000,          4.027
     -30860.000,    -159445.000,          6.070,   55,   54,         10.000,        -90.000,          5.501
     -30850.000,    -159440.000,          6.069,   56,   55,         14.142,       -135.000,          4.717
     -30840.000,    -159430.000,          6.067,   57,   56,         14.142,       -135.000,          3.452
     -30830.000,    -159420.000,          6.066,   58,   57,         14.142,       -135.000,          2.106
     -30825.000,    -159410.000,          6.037,   59,   58,         10.000,       -180.000,          3.947
     -30820.000,    -159400.000,          6.034,   60,   59,         14.142,       -135.000,          2.987
     -30815.000,    -159390.000,          6.032,   61,   60,         10.000,       -180.000,          5.006
     -30810.000,    -159380.000,          6.032,   62,   61,         14.142,       -135.000,          3.815
     -30800.000,    -159370.000,          6.029,   63,   62,         14.142,       -135.000,          4.158
     -30790.000,    -159360.000,          6.027,   64,   63,         14.142,       -135.000,          4.174
     -30780.000,    -159350.000,          6.025,   65,   64,         14.142,       -135.000,          2.470
     -30770.000,    -159340.000,          6.021,   66,   65,         14.142,       -135.000,          3.516
     -30760.000,    -159330.000,          6.019,   67,   66,         14.142,       -135.000,          4.512
     -30755.000,    -159320.000,          5.956,   68,   67,         10.000,       -180.000,          6.577
     -30755.000,    -159310.000,          5.955,   69,   68,         10.000,       -180.000,         11.282
     -30760.000,    -159300.000,          5.953,   70,   69,         14.142,       -225.000,         13.154
     -30765.000,    -159290.000,          5.951,   71,   70,         10.000,       -180.000,         23.581
     -30765.000,    -159280.000,          5.950,   72,   71,         10.000,       -180.000,         10.282
     -30760.000,    -159270.000,          5.949,   73,   72,         14.142,       -135.000,          5.842
     -30755.000,    -159260.000,          5.948,   74,   73,         10.000,       -180.000,          5.801
     -30755.000,    -159250.000,          5.946,   75,   74,         10.000,       -180.000,          7.525
     -30750.000,    -159240.000,          5.946,   76,   75,         14.142,       -135.000,          3.976
     -30745.000,    -159230.000,          5.926,   77,   76,         10.000,       -180.000,          4.420
     -30745.000,    -159220.000,          5.923,   78,   77,         10.000,       -180.000,          5.796
     -30745.000,    -159210.000,          5.922,   79,   78,         10.000,       -180.000,          5.625
     -30740.000,    -159200.000,          5.921,   80,   79,         14.142,       -135.000,          4.512
     -30735.000,    -159190.000,          5.911,   81,   80,         10.000,       -180.000,          4.568
     -30730.000,    -159180.000,          5.661,   82,   81,         14.142,       -135.000,         10.918
     -30720.000,    -159175.000,          5.660,   83,   82,         10.000,        -90.000,         10.315
     -30710.000,    -159170.000,          5.658,   84,   83,         14.142,       -135.000,         10.809
     -30700.000,    -159160.000,          5.654,   85,   84,         14.142,       -135.000,         10.151
     -30690.000,    -159150.000,          5.642,   86,   85,         14.142,       -135.000,         10.527
     -30680.000,    -159140.000,          5.640,   87,   86,         14.142,       -135.000,          9.127
     -30670.000,    -159135.000,          5.640,   88,   87,         10.000,        -90.000,          7.627
     -30660.000,    -159130.000,          5.638,   89,   88,         14.142,       -135.000,          5.128
     -30650.000,    -159120.000,          5.630,   90,   89,         14.142,       -135.000,          4.238
     -30645.000,    -159110.000,          5.000,   91,   90,         10.000,       -180.000,          6.809
