         522
x,y,cvx,cvy,f1x,f1y,f2x,f2y,f3x,f3y,cs                                                              
     -31195.000,    -160020.000,  122,    2,    0,    0,    0,    1,    0,    0,    10.000
     -31185.000,    -160020.000,  123,    2,    0,    0,    0,    1,    0,    0,    10.000
     -31215.000,    -160010.000,  120,    3,    0,    0,    0,    1,    0,    0,    10.000
     -31205.000,    -160010.000,  121,    3,    0,    0,    0,    1,    0,    0,    10.000
     -31175.000,    -160010.000,  124,    3,    0,    0,    0,    1,    0,    0,    10.000
     -31165.000,    -160000.000,  125,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31155.000,    -160000.000,  126,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31145.000,    -160000.000,  127,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31135.000,    -160000.000,  128,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31125.000,    -160000.000,  129,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31115.000,    -160000.000,  130,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31105.000,    -160000.000,  131,    4,    0,    0,    0,    1,    0,    0,    10.000
     -31225.000,    -159990.000,  119,    5,    0,    0,    0,    1,    0,    0,    10.000
     -31095.000,    -159990.000,  132,    5,    0,    0,    0,    1,    0,    0,    10.000
     -31085.000,    -159990.000,  133,    5,    0,    0,    0,    1,    0,    0,    10.000
     -31075.000,    -159990.000,  134,    5,    0,    0,    0,    1,    0,    0,    10.000
     -31065.000,    -159990.000,  135,    5,    0,    0,    0,    1,    0,    0,    10.000
     -31055.000,    -159980.000,  136,    6,    0,    0,    0,    1,    0,    0,    10.000
     -31045.000,    -159970.000,  137,    7,    0,    0,    0,    1,    0,    0,    10.000
     -31035.000,    -159960.000,  138,    8,    0,    0,    0,    1,    0,    0,    10.000
     -31025.000,    -159960.000,  139,    8,    0,    0,    0,    1,    0,    0,    10.000
     -31235.000,    -159950.000,  118,    9,    0,    0,    0,    1,    0,    0,    10.000
     -31015.000,    -159950.000,  140,    9,    0,    0,    0,    1,    0,    0,    10.000
     -31255.000,    -159940.000,  116,   10,    0,    0,    0,    1,    0,    0,    10.000
     -31245.000,    -159940.000,  117,   10,    0,    0,    0,    1,    0,    0,    10.000
     -31255.000,    -159920.000,  116,   12,    0,    0,    0,    1,    0,    0,    10.000
     -31265.000,    -159900.000,  115,   14,    0,    0,    0,    1,    0,    0,    10.000
     -31005.000,    -159890.000,  141,   15,    0,    0,    0,    1,    0,    0,    10.000
     -30995.000,    -159870.000,  142,   17,    0,    0,    0,    1,    0,    0,    10.000
     -30985.000,    -159850.000,  143,   19,    0,    0,    0,    1,    0,    0,    10.000
     -31255.000,    -159830.000,  116,   21,    0,    0,    0,    1,    0,    0,    10.000
     -30975.000,    -159830.000,  144,   21,    0,    0,    0,    1,    0,    0,    10.000
     -30965.000,    -159800.000,  145,   24,    0,    0,    0,    1,    0,    0,    10.000
     -30955.000,    -159750.000,  146,   29,    0,    0,    0,    1,    0,    0,    10.000
     -30945.000,    -159730.000,  147,   31,    0,    0,    0,    1,    0,    0,    10.000
     -30935.000,    -159730.000,  148,   31,    0,    0,    0,    1,    0,    0,    10.000
     -31245.000,    -159720.000,  117,   32,    0,    0,    0,    1,    0,    0,    10.000
     -30925.000,    -159720.000,  149,   32,    0,    0,    0,    1,    0,    0,    10.000
     -30915.000,    -159710.000,  150,   33,    0,    0,    0,    1,    0,    0,    10.000
     -30725.000,    -159710.000,  169,   33,    0,    0,    0,    1,    0,    0,    10.000
     -30715.000,    -159710.000,  170,   33,    0,    0,    0,    1,    0,    0,    10.000
     -31255.000,    -159700.000,  116,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30905.000,    -159700.000,  151,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30895.000,    -159700.000,  152,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30885.000,    -159700.000,  153,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30875.000,    -159700.000,  154,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30865.000,    -159700.000,  155,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30735.000,    -159700.000,  168,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30705.000,    -159700.000,  171,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30695.000,    -159700.000,  172,   34,    0,    0,    0,    1,    0,    0,    10.000
     -30855.000,    -159690.000,  156,   35,    0,    0,    0,    1,    0,    0,    10.000
     -30755.000,    -159690.000,  166,   35,    0,    0,    0,    1,    0,    0,    10.000
     -30745.000,    -159690.000,  167,   35,    0,    0,    0,    1,    0,    0,    10.000
     -30685.000,    -159690.000,  173,   35,    0,    0,    0,    1,    0,    0,    10.000
     -30675.000,    -159690.000,  174,   35,    0,    0,    0,    1,    0,    0,    10.000
     -30845.000,    -159680.000,  157,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30835.000,    -159680.000,  158,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30825.000,    -159680.000,  159,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30765.000,    -159680.000,  165,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30665.000,    -159680.000,  175,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30655.000,    -159680.000,  176,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30645.000,    -159680.000,  177,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30635.000,    -159680.000,  178,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30625.000,    -159680.000,  179,   36,    0,    0,    0,    1,    0,    0,    10.000
     -30815.000,    -159670.000,  160,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30805.000,    -159670.000,  161,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30795.000,    -159670.000,  162,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30785.000,    -159670.000,  163,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30775.000,    -159670.000,  164,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30615.000,    -159670.000,  180,   37,    0,    0,    0,    1,    0,    0,    10.000
     -30605.000,    -159670.000,  181,   37,    0,    0,    0,    1,    0,    0,    10.000
     -31265.000,    -159640.000,  115,   40,    0,    0,    0,    1,    0,    0,    10.000
     -30595.000,    -159640.000,  182,   40,    0,    0,    0,    1,    0,    0,    10.000
     -30585.000,    -159640.000,  183,   40,    0,    0,    0,    1,    0,    0,    10.000
     -31275.000,    -159630.000,  114,   41,    0,    0,    0,    1,    0,    0,    10.000
     -30575.000,    -159630.000,  184,   41,    0,    0,    0,    1,    0,    0,    10.000
     -30565.000,    -159630.000,  185,   41,    0,    0,    0,    1,    0,    0,    10.000
     -31285.000,    -159610.000,  113,   43,    0,    0,    0,    1,    0,    0,    10.000
     -30565.000,    -159590.000,  185,   45,    0,    0,    0,    1,    0,    0,    10.000
     -30555.000,    -159580.000,  186,   46,    0,    0,    0,    1,    0,    0,    10.000
     -30545.000,    -159580.000,  187,   46,    0,    0,    0,    1,    0,    0,    10.000
     -30535.000,    -159580.000,  188,   46,    0,    0,    0,    1,    0,    0,    10.000
     -30525.000,    -159570.000,  189,   47,    0,    0,    0,    1,    0,    0,    10.000
     -30515.000,    -159560.000,  190,   48,    0,    0,    0,    1,    0,    0,    10.000
     -30505.000,    -159540.000,  191,   50,    0,    0,    0,    1,    0,    0,    10.000
     -30495.000,    -159520.000,  192,   52,    0,    0,    0,    1,    0,    0,    10.000
     -30485.000,    -159510.000,  193,   53,    0,    0,    0,    1,    0,    0,    10.000
     -30475.000,    -159500.000,  194,   54,    0,    0,    0,    1,    0,    0,    10.000
     -30465.000,    -159490.000,  195,   55,    0,    0,    0,    1,    0,    0,    10.000
     -30455.000,    -159480.000,  196,   56,    0,    0,    0,    1,    0,    0,    10.000
     -30445.000,    -159480.000,  197,   56,    0,    0,    0,    1,    0,    0,    10.000
     -30405.000,    -159480.000,  201,   56,    0,    0,    0,    1,    0,    0,    10.000
     -30395.000,    -159480.000,  202,   56,    0,    0,    0,    1,    0,    0,    10.000
     -30435.000,    -159470.000,  198,   57,    0,    0,    0,    1,    0,    0,    10.000
     -30425.000,    -159470.000,  199,   57,    0,    0,    0,    1,    0,    0,    10.000
     -30415.000,    -159470.000,  200,   57,    0,    0,    0,    1,    0,    0,    10.000
     -30385.000,    -159460.000,  203,   58,    0,    0,    0,    1,    0,    0,    10.000
     -30375.000,    -159390.000,  204,   65,    0,    0,    0,    1,    0,    0,    10.000
     -30365.000,    -159380.000,  205,   66,    0,    0,    0,    1,    0,    0,    10.000
     -30355.000,    -159370.000,  206,   67,    0,    0,    0,    1,    0,    0,    10.000
     -30345.000,    -159360.000,  207,   68,    0,    0,    0,    1,    0,    0,    10.000
     -30335.000,    -159360.000,  208,   68,    0,    0,    0,    1,    0,    0,    10.000
     -30325.000,    -159350.000,  209,   69,    0,    0,    0,    1,    0,    0,    10.000
     -30315.000,    -159340.000,  210,   70,    0,    0,    0,    1,    0,    0,    10.000
     -30305.000,    -159330.000,  211,   71,    0,    0,    0,    1,    0,    0,    10.000
     -30295.000,    -159330.000,  212,   71,    0,    0,    0,    1,    0,    0,    10.000
     -30285.000,    -159320.000,  213,   72,    0,    0,    0,    1,    0,    0,    10.000
