   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
    1,    48.704,    46.704,    45.704,    10.000,    10.000,   0.05000
    2,    49.242,    47.242,    46.242,    14.142,    10.000,   0.05000
    3,    49.523,    47.523,    46.523,    14.142,    10.000,   0.05000
    4,    50.358,    48.358,    47.358,    14.142,    10.000,   0.05000
    5,    51.731,    49.731,    48.731,    10.000,    10.000,   0.05000
    6,    53.299,    51.299,    50.299,    14.142,    10.000,   0.05000
    7,    54.023,    52.023,    51.023,    10.000,    10.000,   0.05000
    8,    54.764,    52.764,    51.764,    14.142,    10.000,   0.05000
    9,    55.696,    53.696,    52.696,    14.142,    10.000,   0.05000
   10,    56.418,    54.418,    53.418,    10.000,    10.000,   0.05000
   11,    57.489,    55.489,    54.489,    14.142,    10.000,   0.05000
   12,    58.410,    56.410,    55.410,    14.142,    10.000,   0.05000
   13,    58.859,    56.859,    55.859,    10.000,    10.000,   0.05000
   14,    59.430,    57.430,    56.430,    10.000,    10.000,   0.05000
   15,    60.605,    58.605,    57.605,    14.142,    10.000,   0.05000
   16,    61.817,    59.817,    58.817,    14.142,    10.000,   0.05000
   17,    63.509,    61.509,    60.509,    14.142,    10.000,   0.05000
   18,    64.947,    62.947,    61.947,    14.142,    10.000,   0.05000
   19,    66.163,    64.163,    63.163,    14.142,    10.000,   0.05000
   20,    66.610,    64.610,    63.610,    10.000,    10.000,   0.05000
   21,    67.338,    65.338,    64.338,    14.142,    10.000,   0.05000
   22,    67.904,    65.904,    64.904,    14.142,    10.000,   0.05000
   23,    68.203,    66.203,    65.203,    10.000,    10.000,   0.05000
   24,    68.989,    66.989,    65.989,    14.142,    10.000,   0.05000
   25,    69.510,    67.510,    66.510,    14.142,    10.000,   0.05000
   26,    69.915,    67.915,    66.915,    10.000,    10.000,   0.05000
   27,    70.646,    68.646,    67.646,    10.000,    10.000,   0.05000
   28,    71.974,    69.974,    68.974,    10.000,    10.000,   0.05000
   29,    72.787,    70.787,    69.787,    10.000,    10.000,   0.05000
   30,    73.722,    71.722,    70.722,    14.142,    10.000,   0.05000
   31,    74.281,    72.281,    71.281,    10.000,    10.000,   0.05000
   32,    75.623,    73.623,    72.623,    14.142,    10.000,   0.05000
   33,    76.698,    74.698,    73.698,    10.000,    10.000,   0.05000
   34,    77.744,    75.744,    74.744,    14.142,    10.000,   0.05000
   35,    78.565,    76.565,    75.565,    10.000,    10.000,   0.05000
   36,    79.947,    77.947,    76.947,    14.142,    10.000,   0.05000
   37,    81.435,    79.435,    78.435,    14.142,    10.000,   0.05000
   38,    82.842,    80.842,    79.842,    14.142,    10.000,   0.05000
   39,    83.525,    81.525,    80.525,    10.000,    10.000,   0.05000
   40,    84.190,    82.190,    81.190,    14.142,    10.000,   0.05000
   41,    84.600,    82.600,    81.600,    10.000,    10.000,   0.05000
   42,    85.343,    83.343,    82.343,    14.142,    10.000,   0.05000
   43,    86.269,    84.269,    83.269,    14.142,    10.000,   0.05000
   44,    86.767,    84.767,    83.767,    10.000,    10.000,   0.05000
