   time(s)          q_sum         qs_sum          h_sum         hs_sum        qcc_sum        qcf_sum         cc_sum         cf_sum         dz_sum        fsr_sum
        60   0.00000E+000   0.22445E-003   0.75156E-001   0.13545E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.33862E+005   0.21567E-003
       120   0.00000E+000   0.45271E-003   0.21185E+000   0.13545E+005   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.33862E+005   0.85561E-003
       180   0.00000E+000   0.68096E-003   0.11802E+005   0.98804E+004   0.00000E+000   0.00000E+000   0.34176E+004   0.14647E+004   0.24701E+005   0.19198E-002
       240   0.00000E+000   0.90921E-003   0.15952E+005   0.80190E+004   0.00000E+000   0.00000E+000   0.39200E+004   0.21516E+004   0.22303E+005   0.34083E-002
       300   0.00000E+000   0.11375E-002   0.20706E+005   0.60509E+004   0.00000E+000   0.00000E+000   0.46806E+004   0.28966E+004   0.19393E+005   0.53210E-002
       360   0.00000E+000   0.13657E-002   0.20580E+005   0.53043E+004   0.00000E+000   0.00000E+000   0.37344E+004   0.30820E+004   0.20251E+005   0.76580E-002
       420   0.00000E+000   0.15940E-002   0.21114E+005   0.49271E+004   0.00000E+000   0.00000E+000   0.36087E+004   0.32229E+004   0.20094E+005   0.10419E-001
       480   0.30443E+001   0.18222E-002   0.21602E+005   0.46374E+004   0.17062E+000   0.53134E+000   0.35648E+004   0.33338E+004   0.19893E+005   0.13605E-001
       540   0.11494E+004   0.20504E-002   0.20320E+005   0.45692E+004   0.65814E+002   0.20134E+003   0.33149E+004   0.31539E+004   0.20119E+005   0.17215E-001
       600   0.22374E+004   0.22787E-002   0.19040E+005   0.45388E+004   0.12826E+003   0.39252E+003   0.30804E+004   0.29685E+004   0.20360E+005   0.21249E-001
       660   0.32366E+004   0.25069E-002   0.17861E+005   0.45123E+004   0.18552E+003   0.56912E+003   0.28699E+004   0.27933E+004   0.20582E+005   0.25491E-001
       720   0.40852E+004   0.27351E-002   0.16859E+005   0.44893E+004   0.23418E+003   0.72053E+003   0.26925E+004   0.26417E+004   0.20770E+005   0.29734E-001
       780   0.48111E+004   0.29634E-002   0.16002E+005   0.44678E+004   0.27576E+003   0.85062E+003   0.25407E+004   0.25106E+004   0.20932E+005   0.33977E-001
       840   0.54970E+004   0.31916E-002   0.15193E+005   0.44508E+004   0.31500E+003   0.97360E+003   0.24020E+004   0.23856E+004   0.21081E+005   0.38219E-001
       900   0.61470E+004   0.34198E-002   0.14429E+005   0.44373E+004   0.35214E+003   0.10902E+004   0.22755E+004   0.22664E+004   0.21217E+005   0.42462E-001
       960   0.67354E+004   0.36481E-002   0.13737E+005   0.44264E+004   0.38574E+003   0.11958E+004   0.21629E+004   0.21579E+004   0.21338E+005   0.46705E-001
