   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
    1    46.70400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    46.70400    -0.03804     1.00000     0.00000     0.10921     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    2    47.24200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    47.24200    -0.03804     1.00000     0.00000     0.10921     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    3    47.52300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    47.52300    -0.01987     1.00000     0.00000     0.05704     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    4    48.35800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    48.35800    -0.05904     1.00000     0.00001     0.16950     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    5    49.73100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    49.73100    -0.13730     1.00000     0.00001     0.39415     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    6    51.29900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    51.29900    -0.11088     1.00000     0.00001     0.31829     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    7    52.02300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    52.02300    -0.07240     1.00000     0.00001     0.20784     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    8    52.76400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    52.76400    -0.05240     1.00000     0.00001     0.15042     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
    9    53.69600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    53.69600    -0.06590     1.00000     0.00001     0.18919     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   10    54.41800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    54.41800    -0.07220     1.00000     0.00001     0.20727     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
