         435
x,y,i,j
      12815.000,      -9960.000,  343,   41
      12805.000,      -9900.000,  342,   47
      12795.000,      -9850.000,  341,   52
      12785.000,      -9790.000,  340,   58
      12775.000,      -9740.000,  339,   63
      12765.000,      -9680.000,  338,   69
      12755.000,      -9630.000,  337,   74
      12745.000,      -9570.000,  336,   80
      12735.000,      -9510.000,  335,   86
      12725.000,      -9370.000,  334,  100
      12715.000,      -9230.000,  333,  114
      12705.000,      -9090.000,  332,  128
      12695.000,      -8950.000,  331,  142
       9405.000,      -4360.000,    2,  601
       9415.000,      -4290.000,    3,  608
       9425.000,      -4220.000,    4,  615
       9435.000,      -4160.000,    5,  621
       9445.000,      -4090.000,    6,  628
       9455.000,      -4020.000,    7,  635
      13615.000,      -4000.000,  423,  637
       9465.000,      -3950.000,    8,  642
      13605.000,      -3940.000,  422,  643
       9475.000,      -3890.000,    9,  648
      13595.000,      -3880.000,  421,  649
       9485.000,      -3820.000,   10,  655
      13585.000,      -3820.000,  420,  655
      13575.000,      -3760.000,  419,  661
       9495.000,      -3750.000,   11,  662
      13565.000,      -3700.000,  418,  667
       9505.000,      -3690.000,   12,  668
      13555.000,      -3650.000,  417,  672
       9515.000,      -3620.000,   13,  675
      13545.000,      -3590.000,  416,  678
       9525.000,      -3550.000,   14,  682
      13535.000,      -3530.000,  415,  684
       9535.000,      -3480.000,   15,  689
      13525.000,      -3470.000,  414,  690
       9545.000,      -3450.000,   16,  692
       9555.000,      -3440.000,   17,  693
       9565.000,      -3420.000,   18,  695
       9575.000,      -3410.000,   19,  696
      13515.000,      -3410.000,  413,  696
       9585.000,      -3390.000,   20,  698
       9595.000,      -3370.000,   21,  700
       9605.000,      -3360.000,   22,  701
      13505.000,      -3350.000,  412,  702
       9615.000,      -3340.000,   23,  703
       9625.000,      -3330.000,   24,  704
       9635.000,      -3310.000,   25,  706
      13495.000,      -3300.000,  411,  707
       9645.000,      -3290.000,   26,  708
       9655.000,      -3280.000,   27,  709
       9665.000,      -3260.000,   28,  711
       9675.000,      -3250.000,   29,  712
      13485.000,      -3240.000,  410,  713
       9685.000,      -3230.000,   30,  714
       9695.000,      -3210.000,   31,  716
       9705.000,      -3200.000,   32,  717
       9715.000,      -3180.000,   33,  719
      13475.000,      -3180.000,  409,  719
       9725.000,      -3170.000,   34,  720
      13465.000,      -3170.000,  408,  720
