         435
x,y,i,j
      12505.000,     -10340.000,  312,    3
      12515.000,     -10340.000,  313,    3
      12485.000,     -10330.000,  310,    4
      12495.000,     -10330.000,  311,    4
      12525.000,     -10330.000,  314,    4
      12465.000,     -10320.000,  308,    5
      12475.000,     -10320.000,  309,    5
      12535.000,     -10320.000,  315,    5
      12445.000,     -10310.000,  306,    6
      12455.000,     -10310.000,  307,    6
      12425.000,     -10300.000,  304,    7
      12435.000,     -10300.000,  305,    7
      12545.000,     -10300.000,  316,    7
      12405.000,     -10290.000,  302,    8
      12415.000,     -10290.000,  303,    8
      12555.000,     -10290.000,  317,    8
      12385.000,     -10280.000,  300,    9
      12395.000,     -10280.000,  301,    9
      12565.000,     -10280.000,  318,    9
      12365.000,     -10270.000,  298,   10
      12375.000,     -10270.000,  299,   10
      12575.000,     -10270.000,  319,   10
      12345.000,     -10260.000,  296,   11
      12355.000,     -10260.000,  297,   11
      12585.000,     -10260.000,  320,   11
      12325.000,     -10250.000,  294,   12
      12335.000,     -10250.000,  295,   12
      12595.000,     -10250.000,  321,   12
      12315.000,     -10240.000,  293,   13
      12605.000,     -10240.000,  322,   13
      12295.000,     -10230.000,  291,   14
      12305.000,     -10230.000,  292,   14
      12615.000,     -10230.000,  323,   14
      12275.000,     -10220.000,  289,   15
      12285.000,     -10220.000,  290,   15
      12625.000,     -10220.000,  324,   15
      12255.000,     -10210.000,  287,   16
      12265.000,     -10210.000,  288,   16
      12235.000,     -10200.000,  285,   17
      12245.000,     -10200.000,  286,   17
      12635.000,     -10200.000,  325,   17
      12215.000,     -10190.000,  283,   18
      12225.000,     -10190.000,  284,   18
      12645.000,     -10190.000,  326,   18
      12195.000,     -10180.000,  281,   19
      12205.000,     -10180.000,  282,   19
      12655.000,     -10180.000,  327,   19
      12175.000,     -10170.000,  279,   20
      12185.000,     -10170.000,  280,   20
      12665.000,     -10170.000,  328,   20
      12155.000,     -10160.000,  277,   21
      12165.000,     -10160.000,  278,   21
      12675.000,     -10160.000,  329,   21
      12135.000,     -10150.000,  275,   22
      12145.000,     -10150.000,  276,   22
      12685.000,     -10150.000,  330,   22
      12115.000,     -10140.000,  273,   23
      12125.000,     -10140.000,  274,   23
      12695.000,     -10140.000,  331,   23
      12095.000,     -10130.000,  271,   24
      12105.000,     -10130.000,  272,   24
      12705.000,     -10130.000,  332,   24
      12075.000,     -10120.000,  269,   25
      12085.000,     -10120.000,  270,   25
      12055.000,     -10110.000,  267,   26
      12065.000,     -10110.000,  268,   26
      12715.000,     -10110.000,  333,   26
      12035.000,     -10100.000,  265,   27
      12045.000,     -10100.000,  266,   27
      12725.000,     -10100.000,  334,   27
      12015.000,     -10090.000,  263,   28
      12025.000,     -10090.000,  264,   28
      12735.000,     -10090.000,  335,   28
      11995.000,     -10080.000,  261,   29
      12005.000,     -10080.000,  262,   29
      12745.000,     -10080.000,  336,   29
      11985.000,     -10070.000,  260,   30
      12755.000,     -10070.000,  337,   30
      11975.000,     -10060.000,  259,   31
      12765.000,     -10060.000,  338,   31
      11965.000,     -10050.000,  258,   32
      12775.000,     -10050.000,  339,   32
      11955.000,     -10040.000,  257,   33
      12785.000,     -10040.000,  340,   33
      11945.000,     -10030.000,  256,   34
