         452
x,y,cvx,cvy,f1x,f1y,f2x,f2y,f3x,f3y,cs                                                              
      13095.000,     -12960.000,   94,    2,    0,    0,    0,    1,    0,    0,    30.000
      13125.000,     -12960.000,   95,    2,    0,    0,    0,    1,    0,    0,    30.000
      13155.000,     -12960.000,   96,    2,    0,    0,    0,    1,    0,    0,    30.000
      13185.000,     -12960.000,   97,    2,    0,    0,    0,    1,    0,    0,    30.000
      13335.000,     -12960.000,  102,    2,    0,    0,    0,    1,    0,    0,    30.000
      13365.000,     -12960.000,  103,    2,    0,    0,    0,    1,    0,    0,    30.000
      13395.000,     -12960.000,  104,    2,    0,    0,    0,    1,    0,    0,    30.000
      13215.000,     -12930.000,   98,    3,    0,    0,    0,    1,    0,    0,    30.000
      13245.000,     -12930.000,   99,    3,    0,    0,    0,    1,    0,    0,    30.000
      13275.000,     -12930.000,  100,    3,    0,    0,    0,    1,    0,    0,    30.000
      13305.000,     -12930.000,  101,    3,    0,    0,    0,    1,    0,    0,    30.000
      13425.000,     -12930.000,  105,    3,    0,    0,    0,    1,    0,    0,    30.000
      13455.000,     -12930.000,  106,    3,    0,    0,    0,    1,    0,    0,    30.000
      13485.000,     -12930.000,  107,    3,    0,    0,    0,    1,    0,    0,    30.000
      13515.000,     -12900.000,  108,    4,    0,    0,    0,    1,    0,    0,    30.000
      13545.000,     -12900.000,  109,    4,    0,    0,    0,    1,    0,    0,    30.000
      13065.000,     -12870.000,   93,    5,    0,    0,    0,    1,    0,    0,    30.000
      13575.000,     -12840.000,  110,    6,    0,    0,    0,    1,    0,    0,    30.000
      13035.000,     -12810.000,   92,    7,    0,    0,    0,    1,    0,    0,    30.000
      13605.000,     -12810.000,  111,    7,    0,    0,    0,    1,    0,    0,    30.000
      13005.000,     -12780.000,   91,    8,    0,    0,    0,    1,    0,    0,    30.000
      13635.000,     -12780.000,  112,    8,    0,    0,    0,    1,    0,    0,    30.000
      13755.000,     -12780.000,  116,    8,    0,    0,    0,    1,    0,    0,    30.000
      12495.000,     -12750.000,   74,    9,    0,    0,    0,    1,    0,    0,    30.000
      12525.000,     -12750.000,   75,    9,    0,    0,    0,    1,    0,    0,    30.000
      12555.000,     -12750.000,   76,    9,    0,    0,    0,    1,    0,    0,    30.000
      12585.000,     -12750.000,   77,    9,    0,    0,    0,    1,    0,    0,    30.000
      12615.000,     -12750.000,   78,    9,    0,    0,    0,    1,    0,    0,    30.000
      12645.000,     -12750.000,   79,    9,    0,    0,    0,    1,    0,    0,    30.000
      12675.000,     -12750.000,   80,    9,    0,    0,    0,    1,    0,    0,    30.000
      12705.000,     -12750.000,   81,    9,    0,    0,    0,    1,    0,    0,    30.000
      12735.000,     -12750.000,   82,    9,    0,    0,    0,    1,    0,    0,    30.000
      12765.000,     -12750.000,   83,    9,    0,    0,    0,    1,    0,    0,    30.000
      12795.000,     -12750.000,   84,    9,    0,    0,    0,    1,    0,    0,    30.000
      12825.000,     -12750.000,   85,    9,    0,    0,    0,    1,    0,    0,    30.000
      12855.000,     -12750.000,   86,    9,    0,    0,    0,    1,    0,    0,    30.000
      12885.000,     -12750.000,   87,    9,    0,    0,    0,    1,    0,    0,    30.000
      12915.000,     -12750.000,   88,    9,    0,    0,    0,    1,    0,    0,    30.000
      12945.000,     -12750.000,   89,    9,    0,    0,    0,    1,    0,    0,    30.000
      12975.000,     -12750.000,   90,    9,    0,    0,    0,    1,    0,    0,    30.000
      13665.000,     -12750.000,  113,    9,    0,    0,    0,    1,    0,    0,    30.000
      13695.000,     -12750.000,  114,    9,    0,    0,    0,    1,    0,    0,    30.000
      13725.000,     -12750.000,  115,    9,    0,    0,    0,    1,    0,    0,    30.000
      13785.000,     -12750.000,  117,    9,    0,    0,    0,    1,    0,    0,    30.000
      13815.000,     -12750.000,  118,    9,    0,    0,    0,    1,    0,    0,    30.000
      13845.000,     -12750.000,  119,    9,    0,    0,    0,    1,    0,    0,    30.000
      13995.000,     -12750.000,  124,    9,    0,    0,    0,    1,    0,    0,    30.000
      14025.000,     -12750.000,  125,    9,    0,    0,    0,    1,    0,    0,    30.000
      14055.000,     -12750.000,  126,    9,    0,    0,    0,    1,    0,    0,    30.000
      14085.000,     -12750.000,  127,    9,    0,    0,    0,    1,    0,    0,    30.000
      12375.000,     -12720.000,   70,   10,    0,    0,    0,    1,    0,    0,    30.000
      12405.000,     -12720.000,   71,   10,    0,    0,    0,    1,    0,    0,    30.000
      12435.000,     -12720.000,   72,   10,    0,    0,    0,    1,    0,    0,    30.000
      12465.000,     -12720.000,   73,   10,    0,    0,    0,    1,    0,    0,    30.000
      13875.000,     -12720.000,  120,   10,    0,    0,    0,    1,    0,    0,    30.000
      13905.000,     -12720.000,  121,   10,    0,    0,    0,    1,    0,    0,    30.000
      13935.000,     -12720.000,  122,   10,    0,    0,    0,    1,    0,    0,    30.000
      13965.000,     -12720.000,  123,   10,    0,    0,    0,    1,    0,    0,    30.000
      10335.000,     -12690.000,    2,   11,    0,    0,    0,    1,    0,    0,    30.000
      10365.000,     -12690.000,    3,   11,    0,    0,    0,    1,    0,    0,    30.000
      10395.000,     -12690.000,    4,   11,    0,    0,    0,    1,    0,    0,    30.000
      12255.000,     -12690.000,   66,   11,    0,    0,    0,    1,    0,    0,    30.000
      12285.000,     -12690.000,   67,   11,    0,    0,    0,    1,    0,    0,    30.000
      12315.000,     -12690.000,   68,   11,    0,    0,    0,    1,    0,    0,    30.000
      12345.000,     -12690.000,   69,   11,    0,    0,    0,    1,    0,    0,    30.000
      14115.000,     -12690.000,  128,   11,    0,    0,    0,    1,    0,    0,    30.000
      10425.000,     -12660.000,    5,   12,    0,    0,    0,    1,    0,    0,    30.000
      11595.000,     -12660.000,   44,   12,    0,    0,    0,    1,    0,    0,    30.000
      11625.000,     -12660.000,   45,   12,    0,    0,    0,    1,    0,    0,    30.000
      11655.000,     -12660.000,   46,   12,    0,    0,    0,    1,    0,    0,    30.000
      11895.000,     -12660.000,   54,   12,    0,    0,    0,    1,    0,    0,    30.000
      11925.000,     -12660.000,   55,   12,    0,    0,    0,    1,    0,    0,    30.000
      11955.000,     -12660.000,   56,   12,    0,    0,    0,    1,    0,    0,    30.000
      11985.000,     -12660.000,   57,   12,    0,    0,    0,    1,    0,    0,    30.000
      12015.000,     -12660.000,   58,   12,    0,    0,    0,    1,    0,    0,    30.000
      12045.000,     -12660.000,   59,   12,    0,    0,    0,    1,    0,    0,    30.000
      12075.000,     -12660.000,   60,   12,    0,    0,    0,    1,    0,    0,    30.000
      12105.000,     -12660.000,   61,   12,    0,    0,    0,    1,    0,    0,    30.000
      12135.000,     -12660.000,   62,   12,    0,    0,    0,    1,    0,    0,    30.000
      12165.000,     -12660.000,   63,   12,    0,    0,    0,    1,    0,    0,    30.000
      10455.000,     -12630.000,    6,   13,    0,    0,    0,    1,    0,    0,    30.000
      10485.000,     -12630.000,    7,   13,    0,    0,    0,    1,    0,    0,    30.000
      11265.000,     -12630.000,   33,   13,    0,    0,    0,    1,    0,    0,    30.000
      11295.000,     -12630.000,   34,   13,    0,    0,    0,    1,    0,    0,    30.000
      11325.000,     -12630.000,   35,   13,    0,    0,    0,    1,    0,    0,    30.000
      11355.000,     -12630.000,   36,   13,    0,    0,    0,    1,    0,    0,    30.000
      11385.000,     -12630.000,   37,   13,    0,    0,    0,    1,    0,    0,    30.000
      11415.000,     -12630.000,   38,   13,    0,    0,    0,    1,    0,    0,    30.000
      11445.000,     -12630.000,   39,   13,    0,    0,    0,    1,    0,    0,    30.000
      11475.000,     -12630.000,   40,   13,    0,    0,    0,    1,    0,    0,    30.000
      11505.000,     -12630.000,   41,   13,    0,    0,    0,    1,    0,    0,    30.000
      11535.000,     -12630.000,   42,   13,    0,    0,    0,    1,    0,    0,    30.000
      11565.000,     -12630.000,   43,   13,    0,    0,    0,    1,    0,    0,    30.000
      11685.000,     -12630.000,   47,   13,    0,    0,    0,    1,    0,    0,    30.000
      11715.000,     -12630.000,   48,   13,    0,    0,    0,    1,    0,    0,    30.000
      11745.000,     -12630.000,   49,   13,    0,    0,    0,    1,    0,    0,    30.000
      12195.000,     -12630.000,   64,   13,    0,    0,    0,    1,    0,    0,    30.000
      12225.000,     -12630.000,   65,   13,    0,    0,    0,    1,    0,    0,    30.000
      10515.000,     -12600.000,    8,   14,    0,    0,    0,    1,    0,    0,    30.000
      11235.000,     -12600.000,   32,   14,    0,    0,    0,    1,    0,    0,    30.000
      11775.000,     -12600.000,   50,   14,    0,    0,    0,    1,    0,    0,    30.000
      11805.000,     -12600.000,   51,   14,    0,    0,    0,    1,    0,    0,    30.000
      11835.000,     -12600.000,   52,   14,    0,    0,    0,    1,    0,    0,    30.000
      11865.000,     -12600.000,   53,   14,    0,    0,    0,    1,    0,    0,    30.000
      14145.000,     -12600.000,  129,   14,    0,    0,    0,    1,    0,    0,    30.000
      11145.000,     -12570.000,   29,   15,    0,    0,    0,    1,    0,    0,    30.000
      11175.000,     -12570.000,   30,   15,    0,    0,    0,    1,    0,    0,    30.000
      11205.000,     -12570.000,   31,   15,    0,    0,    0,    1,    0,    0,    30.000
      10545.000,     -12540.000,    9,   16,    0,    0,    0,    1,    0,    0,    30.000
      10725.000,     -12540.000,   15,   16,    0,    0,    0,    1,    0,    0,    30.000
      10755.000,     -12540.000,   16,   16,    0,    0,    0,    1,    0,    0,    30.000
      10785.000,     -12540.000,   17,   16,    0,    0,    0,    1,    0,    0,    30.000
      10815.000,     -12540.000,   18,   16,    0,    0,    0,    1,    0,    0,    30.000
