   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
    1  1259.63100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1259.63100    -0.94190     1.93312     0.00028     0.00000     0.00000           0   0.26564E+003   0.00000E+000   0.00000E+000
    2  1265.59900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1265.59900    -0.82853     1.94209     0.00024     0.00000     0.00000           0   0.48674E+003   0.00000E+000   0.00000E+000
    3  1240.37600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1240.37600    -0.87119     1.95431     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    4  1231.37400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1231.37400    -0.93227     1.49671     0.00021     1.75126     0.00000           0   0.26156E+003   0.00000E+000   0.00000E+000
    5  1240.74300     0.00908     0.00017     0.00004     0.00000     0.00000  1000.00000     0.00000  1240.74300    -0.65285     2.00000     0.00020     1.48647     0.16769           1   0.48299E+003   0.00000E+000   0.00000E+000
    6  1203.40600     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1203.40600    -0.53827     1.98766     0.00016     1.23302     0.32370           0   0.25748E+003   0.00000E+000   0.00000E+000
    7  1213.04500     0.00908     0.00039     0.00006     0.00000     0.00000  1000.00000     0.00000  1213.04500    -0.57290     2.00000     0.00018     1.31401     0.28015           1   0.51856E+003   0.00000E+000   0.00000E+000
    8  1267.55200     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1267.55200    -0.71970     1.96345     0.00022     0.00000     0.00000           0   0.78693E+002   0.00000E+000   0.00000E+000
    9  1187.25800     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1187.25800    -0.42543     1.86544     0.00012     0.94287     0.52246           0   0.25340E+003   0.00000E+000   0.00000E+000
   10  1195.85800     0.00908     0.00044     0.00006     0.00000     0.00000  1000.00000     0.00000  1195.85800    -0.81293     1.12840     0.00014     1.37834     0.01209           1   0.51447E+003   0.00000E+000   0.00000E+000
   11  1237.01800     0.00908     0.00073     0.00010     0.00000     0.00000  1000.00000     0.00000  1237.01800    -0.69389     1.36278     0.00014     1.27848     0.11701           0   0.29718E+003   0.00000E+000   0.00000E+000
   12  1279.33300     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1279.33300    -0.67675     1.96865     0.00020     0.00000     0.00000           0   0.15111E+003   0.00000E+000   0.00000E+000
   13  1185.70100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1185.70100    -0.81887     1.94276     0.00024     0.00000     0.00000           0   0.54376E+003   0.00000E+000   0.00000E+000
   14  1174.49500     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1174.49500    -0.51093     1.57131     0.00012     1.02107     0.38169           0   0.24931E+003   0.00000E+000   0.00000E+000
   15  1171.47000     0.00908     0.00044     0.00006     0.00000     0.00000  1000.00000     0.00000  1171.47000    -0.56998     0.87705     0.00007     0.91275     0.27801           1   0.50870E+003   0.00000E+000   0.00000E+000
   16  1207.57900     0.00908     0.00073     0.00010     0.00000     0.00000  1000.00000     0.00000  1207.57900    -0.59159     1.44834     0.00013     1.12945     0.26687           0   0.29140E+003   0.00000E+000   0.00000E+000
   17  1250.62100     0.00909     0.00036     0.00010     0.00000     0.00000  1000.00000     0.00000  1250.62100    -0.32063     2.00000     0.00010     0.74889     0.69456           0   0.22427E+003   0.00000E+000   0.00000E+000
