    3,# of div
x,y,i2d,j2d,i1d,itr,dist
      12465.000,     -10305.000,  308,    6,      1397,    1,     0.000
      12465.000,     -10295.000,  308,    7,      1397,    2,     0.000
      12465.000,     -10285.000,  308,    8,      1397,    3,     0.000
      12465.000,     -10275.000,  308,    9,      1412,    1,     0.000
      12465.000,     -10265.000,  308,   10,      1412,    2,     0.000
      12465.000,     -10255.000,  308,   11,      1412,    3,     0.000
      12465.000,     -10245.000,  308,   12,      1422,    1,     0.000
      12475.000,     -10235.000,  309,   13,      1422,    2,     0.000
      12485.000,     -10225.000,  310,   14,      1422,    3,     0.000
      12555.000,     -10245.000,  317,   12,      1423,    1,     0.000
      12555.000,     -10235.000,  317,   13,      1423,    2,     0.000
      12555.000,     -10225.000,  317,   14,      1423,    3,     0.000
      12315.000,     -10215.000,  293,   15,      1439,    1,     0.000
      12315.000,     -10205.000,  293,   16,      1439,    2,     0.000
      12315.000,     -10195.000,  293,   17,      1439,    3,     0.000
      12495.000,     -10215.000,  311,   15,      1440,    1,     0.000
      12495.000,     -10205.000,  311,   16,      1440,    2,     0.000
      12495.000,     -10195.000,  311,   17,      1440,    3,     0.000
      12555.000,     -10215.000,  317,   15,      1441,    1,     0.000
      12555.000,     -10205.000,  317,   16,      1441,    2,     0.000
      12555.000,     -10195.000,  317,   17,      1441,    3,     0.000
      12315.000,     -10185.000,  293,   18,      1449,    1,     0.000
      12315.000,     -10175.000,  293,   19,      1449,    2,     0.000
      12315.000,     -10165.000,  293,   20,      1449,    3,     0.000
      12495.000,     -10185.000,  311,   18,      1450,    1,     0.000
      12505.000,     -10175.000,  312,   19,      1450,    2,     0.000
      12515.000,     -10165.000,  313,   20,      1450,    3,     0.000
      12555.000,     -10185.000,  317,   18,      1451,    1,     0.000
      12565.000,     -10175.000,  318,   19,      1451,    2,     0.000
      12575.000,     -10165.000,  319,   20,      1451,    3,     0.000
      12645.000,     -10185.000,  326,   18,      1452,    1,     0.000
      12635.000,     -10175.000,  325,   19,      1452,    2,     0.000
      12625.000,     -10165.000,  324,   20,      1452,    3,     0.000
      12315.000,     -10155.000,  293,   21,      1460,    1,     0.000
      12305.000,     -10145.000,  292,   22,      1460,    2,     0.000
      12295.000,     -10135.000,  291,   23,      1460,    3,     0.000
      12525.000,     -10155.000,  314,   21,      1461,    1,     0.000
      12535.000,     -10145.000,  315,   22,      1461,    2,     0.000
      12545.000,     -10135.000,  316,   23,      1461,    3,     0.000
      12585.000,     -10155.000,  320,   21,      1462,    1,     0.000
      12575.000,     -10145.000,  319,   22,      1462,    2,     0.000
      12565.000,     -10135.000,  318,   23,      1462,    3,     0.000
      12615.000,     -10155.000,  323,   21,      1463,    1,     0.000
      12605.000,     -10155.000,  322,   21,      1463,    2,     0.000
      12595.000,     -10155.000,  321,   21,      1463,    3,     0.000
      12285.000,     -10125.000,  290,   24,      1477,    1,     0.000
      12285.000,     -10115.000,  290,   25,      1477,    2,     0.000
      12285.000,     -10105.000,  290,   26,      1477,    3,     0.000
      12555.000,     -10125.000,  317,   24,      1478,    1,     0.000
      12545.000,     -10115.000,  316,   25,      1478,    2,     0.000
      12535.000,     -10105.000,  315,   26,      1478,    3,     0.000
      12645.000,     -10125.000,  326,   24,      1479,    1,     0.000
      12635.000,     -10135.000,  325,   23,      1479,    2,     0.000
      12625.000,     -10145.000,  324,   22,      1479,    3,     0.000
      12675.000,     -10125.000,  329,   24,      1480,    1,     0.000
      12665.000,     -10125.000,  328,   24,      1480,    2,     0.000
      12655.000,     -10125.000,  327,   24,      1480,    3,     0.000
      12705.000,     -10125.000,  332,   24,      1481,    1,     0.000
      12695.000,     -10125.000,  331,   24,      1481,    2,     0.000
      12685.000,     -10125.000,  330,   24,      1481,    3,     0.000
      12255.000,     -10095.000,  287,   27,      1486,    1,     0.000
      12265.000,     -10085.000,  288,   28,      1486,    2,     0.000
      12275.000,     -10075.000,  289,   29,      1486,    3,     0.000
      12285.000,     -10095.000,  290,   27,      1487,    1,     0.000
      12285.000,     -10085.000,  290,   28,      1487,    2,     0.000
      12285.000,     -10075.000,  290,   29,      1487,    3,     0.000
      12525.000,     -10095.000,  314,   27,      1488,    1,     0.000
      12515.000,     -10085.000,  313,   28,      1488,    2,     0.000
      12505.000,     -10075.000,  312,   29,      1488,    3,     0.000
      12675.000,     -10095.000,  329,   27,      1489,    1,     0.000
      12665.000,     -10105.000,  328,   26,      1489,    2,     0.000
      12655.000,     -10115.000,  327,   25,      1489,    3,     0.000
      12285.000,     -10065.000,  290,   30,      1497,    1,     0.000
      12285.000,     -10055.000,  290,   31,      1497,    2,     0.000
      12285.000,     -10045.000,  290,   32,      1497,    3,     0.000
      12495.000,     -10065.000,  311,   30,      1498,    1,     0.000
      12485.000,     -10055.000,  310,   31,      1498,    2,     0.000
      12475.000,     -10045.000,  309,   32,      1498,    3,     0.000
      12705.000,     -10065.000,  332,   30,      1499,    1,     0.000
      12695.000,     -10075.000,  331,   29,      1499,    2,     0.000
      12685.000,     -10085.000,  330,   28,      1499,    3,     0.000
      12285.000,     -10035.000,  290,   33,      1506,    1,     0.000
      12285.000,     -10025.000,  290,   34,      1506,    2,     0.000
      12285.000,     -10015.000,  290,   35,      1506,    3,     0.000
      12435.000,     -10035.000,  305,   33,      1507,    1,     0.000
      12425.000,     -10025.000,  304,   34,      1507,    2,     0.000
      12415.000,     -10015.000,  303,   35,      1507,    3,     0.000
      12465.000,     -10035.000,  308,   33,      1508,    1,     0.000
      12455.000,     -10035.000,  307,   33,      1508,    2,     0.000
      12445.000,     -10035.000,  306,   33,      1508,    3,     0.000
      12705.000,     -10035.000,  332,   33,      1509,    1,     0.000
      12705.000,     -10045.000,  332,   32,      1509,    2,     0.000
      12705.000,     -10055.000,  332,   31,      1509,    3,     0.000
      12285.000,     -10005.000,  290,   36,      1513,    1,     0.000
      12285.000,      -9995.000,  290,   37,      1513,    2,     0.000
      12285.000,      -9985.000,  290,   38,      1513,    3,     0.000
      12405.000,     -10005.000,  302,   36,      1514,    1,     0.000
      12405.000,      -9995.000,  302,   37,      1514,    2,     0.000
      12405.000,      -9985.000,  302,   38,      1514,    3,     0.000
      12735.000,     -10005.000,  335,   36,      1515,    1,     0.000
      12725.000,     -10015.000,  334,   35,      1515,    2,     0.000
      12715.000,     -10025.000,  333,   34,      1515,    3,     0.000
      12285.000,      -9975.000,  290,   39,      1521,    1,     0.000
      12285.000,      -9965.000,  290,   40,      1521,    2,     0.000
      12285.000,      -9955.000,  290,   41,      1521,    3,     0.000
      12405.000,      -9975.000,  302,   39,      1522,    1,     0.000
      12395.000,      -9965.000,  301,   40,      1522,    2,     0.000
      12385.000,      -9955.000,  300,   41,      1522,    3,     0.000
      12435.000,      -9975.000,  305,   39,      1523,    1,     0.000
      12425.000,      -9975.000,  304,   39,      1523,    2,     0.000
      12415.000,      -9975.000,  303,   39,      1523,    3,     0.000
      12465.000,      -9975.000,  308,   39,      1524,    1,     0.000
      12455.000,      -9975.000,  307,   39,      1524,    2,     0.000
      12445.000,      -9975.000,  306,   39,      1524,    3,     0.000
      12495.000,      -9975.000,  311,   39,      1525,    1,     0.000
      12485.000,      -9975.000,  310,   39,      1525,    2,     0.000
      12475.000,      -9975.000,  309,   39,      1525,    3,     0.000
      12525.000,      -9975.000,  314,   39,      1526,    1,     0.000
      12515.000,      -9975.000,  313,   39,      1526,    2,     0.000
      12505.000,      -9975.000,  312,   39,      1526,    3,     0.000
      12765.000,      -9975.000,  338,   39,      1527,    1,     0.000
      12755.000,      -9985.000,  337,   38,      1527,    2,     0.000
      12745.000,      -9995.000,  336,   37,      1527,    3,     0.000
      12795.000,      -9975.000,  341,   39,      1528,    1,     0.000
      12785.000,      -9975.000,  340,   39,      1528,    2,     0.000
